Time (s),DeltaTime (s)
121.3370,0.006324
121.3390,0.002006
121.3422,0.003224
121.3457,0.003485
121.3513,0.005636
121.3537,0.002365
121.3574,0.003759
121.3608,0.003344
121.3658,0.005055
121.3709,0.005068
121.3733,0.002400
121.3769,0.003570
121.3802,0.003284
121.3859,0.005706
121.3883,0.002472
121.3916,0.003221
121.3956,0.004080
121.4015,0.005870
121.4040,0.002452
121.4075,0.003522
121.4109,0.003421
121.4162,0.005344
121.4204,0.004149
121.4232,0.002777
121.4279,0.004773
121.4312,0.003225
121.4363,0.005171
121.4388,0.002506
121.4420,0.003197
121.4455,0.003421
121.4508,0.005310
121.4535,0.002742
121.4571,0.003539
121.4606,0.003580
121.4641,0.003488
121.4696,0.005515
121.4725,0.002903
121.4760,0.003491
121.4794,0.003418
121.4852,0.005731
121.4878,0.002648
121.4912,0.003409
121.4960,0.004747
121.5007,0.004703
121.5038,0.003127
121.5073,0.003449
121.5105,0.003282
121.5142,0.003612
121.5204,0.006264
121.5223,0.001913
121.5256,0.003271
121.5290,0.003426
121.5349,0.005825
121.5372,0.002319
121.5405,0.003365
121.5447,0.004200
121.5494,0.004682
121.5543,0.004877
121.5568,0.002505
121.5599,0.003127
121.5635,0.003586
121.5695,0.006014
121.5714,0.001874
121.5749,0.003534
121.5783,0.003316
121.5837,0.005492
121.5867,0.002917
121.5899,0.003224
121.5936,0.003712
121.5977,0.004086
121.6030,0.005323
121.6054,0.002422
121.6088,0.003332
121.6124,0.003620
121.6183,0.005965
121.6206,0.002211
121.6243,0.003713
121.6282,0.003956
121.6330,0.004736
121.6368,0.003876
121.6400,0.003205
121.6436,0.003527
121.6474,0.003801
121.6530,0.005652
121.6551,0.002096
121.6593,0.004192
121.6625,0.003230
121.6684,0.005871
121.6705,0.002082
121.6739,0.003380
121.6775,0.003611
121.6823,0.004817
121.6878,0.005470
121.6899,0.002087
121.6934,0.003564
121.6989,0.005426
121.7048,0.006000
121.7076,0.002756
121.7107,0.003089
121.7155,0.004848
121.7210,0.005451
121.7234,0.002435
121.7290,0.005564
121.7368,0.007770
121.7448,0.007990
121.7519,0.007120
121.7582,0.006292
121.7616,0.003423
121.7643,0.002729
121.7688,0.004492
121.7713,0.002513
121.7737,0.002406
121.7759,0.002211
121.7775,0.001545
121.7817,0.004256
121.7859,0.004199
121.7883,0.002356
121.7925,0.004167
121.7959,0.003466
121.8003,0.004365
121.8034,0.003121
121.8065,0.003132
121.8098,0.003295
121.8131,0.003279
121.8182,0.005077
121.8206,0.002371
121.8239,0.003355
121.8273,0.003362
121.8320,0.004671
121.8356,0.003616
121.8384,0.002836
121.8419,0.003444
121.8450,0.003176
121.8494,0.004346
121.8527,0.003311
121.8560,0.003296
121.8593,0.003287
121.8628,0.003558
121.8673,0.004484
121.8699,0.002635
121.8733,0.003368
121.8770,0.003685
121.8802,0.003239
121.8852,0.005001
121.8876,0.002405
121.8910,0.003401
121.8943,0.003236
121.8995,0.005209
121.9088,0.009264
121.9159,0.007152
121.9248,0.008895
121.9317,0.006938
121.9397,0.007933
121.9571,0.017469
121.9598,0.002701
121.9615,0.001709
121.9635,0.001935
121.9660,0.002489
121.9681,0.002138
