Time (s),DeltaTime (s)
42.1609,0.004423
42.1723,0.011464
42.1814,0.009042
42.1866,0.005192
42.1886,0.002017
42.1911,0.002468
42.1935,0.002451
42.1952,0.001667
42.2008,0.005605
42.2063,0.005492
42.2121,0.005808
42.2214,0.009346
42.2256,0.004187
42.2323,0.006697
42.2384,0.006074
42.2443,0.005946
42.2517,0.007406
42.2568,0.005087
42.2631,0.006222
42.2696,0.006560
42.2768,0.007166
42.2831,0.006307
42.2883,0.005216
42.2943,0.005959
42.3016,0.007303
42.3067,0.005111
42.3238,0.017087
42.3266,0.002882
42.3329,0.006266
42.3389,0.005983
42.3407,0.001852
42.3448,0.004036
42.3538,0.008980
42.3578,0.003989
42.3649,0.007136
42.3717,0.006807
42.3774,0.005673
42.3840,0.006599
42.3892,0.005224
42.3950,0.005799
42.4025,0.007486
42.4070,0.004561
42.4131,0.006019
42.4196,0.006539
42.4259,0.006260
42.4322,0.006386
42.4375,0.005229
42.4432,0.005756
42.4499,0.006669
42.4550,0.005075
42.4611,0.006156
42.4680,0.006876
42.4732,0.005221
42.4787,0.005461
42.4863,0.007578
42.4913,0.005003
42.4974,0.006172
42.5037,0.006250
42.5093,0.005620
42.5158,0.006526
42.5212,0.005394
42.5270,0.005755
42.5343,0.007326
42.5391,0.004781
42.5449,0.005847
42.5518,0.006903
42.5570,0.005207
42.5627,0.005635
42.5699,0.007240
42.5760,0.006112
42.5827,0.006613
42.5876,0.004920
42.5937,0.006168
42.6008,0.007027
42.6059,0.005088
42.6116,0.005773
42.6195,0.007926
42.6238,0.004285
42.6300,0.006145
42.6365,0.006568
42.6424,0.005881
42.6491,0.006718
42.6545,0.005314
42.6601,0.005645
42.6670,0.006846
42.6719,0.004957
42.6791,0.007148
42.6853,0.006234
42.6904,0.005072
42.6963,0.005927
42.7035,0.007169
42.7091,0.005636
42.7160,0.006876
42.7211,0.005171
42.7272,0.006074
42.7338,0.006625
42.7390,0.005189
42.7446,0.005604
42.7521,0.007448
42.7569,0.004794
42.7630,0.006138
42.7699,0.006921
42.7759,0.005971
42.7827,0.006804
42.7879,0.005219
42.7937,0.005802
42.8006,0.006857
42.8056,0.005043
42.8117,0.006058
42.8198,0.008135
42.8248,0.004972
42.8304,0.005587
42.8368,0.006374
42.8425,0.005783
42.8495,0.006933
42.8545,0.004987
42.8604,0.005925
42.8674,0.006995
42.8726,0.005209
42.8793,0.006727
42.8864,0.007080
42.8914,0.004975
42.8973,0.005966
42.9035,0.006199
42.9096,0.006040
42.9174,0.007844
42.9226,0.005168
42.9341,0.011483
42.9590,0.024881
42.9618,0.002848
42.9637,0.001893
42.9663,0.002604
42.9682,0.001921
42.9700,0.001781
42.9758,0.005840
42.9831,0.007256
42.9881,0.004985
42.9939,0.005867
43.0009,0.006945
43.0056,0.004727
43.0115,0.005877
43.0191,0.007589
43.0237,0.004592
43.0296,0.005907
43.0372,0.007660
43.0427,0.005474
43.0491,0.006378
43.0541,0.004971
43.0600,0.005934
43.0665,0.006545
43.0719,0.005351
43.0774,0.005539
43.0848,0.007365
43.0895,0.004652
43.0955,0.006027
43.1027,0.007236
43.1082,0.005483
43.1140,0.005768
43.1199,0.005976
43.1257,0.005768
43.1324,0.006671
43.1375,0.005079
43.1436,0.006105
43.1497,0.006183
43.1551,0.005390
43.1609,0.005748
43.1679,0.006975
43.1726,0.004743
43.1787,0.006089
43.1861,0.007429
43.1913,0.005193
43.1970,0.005715
43.2031,0.006118
43.2088,0.005635
43.2157,0.006937
43.2214,0.005633
43.2272,0.005808
43.2330,0.005810
43.2383,0.005365
43.2442,0.005850
43.2516,0.007433
43.2563,0.004652
43.2624,0.006087
43.2693,0.006988
43.2751,0.005770
43.2813,0.006147
43.2872,0.005984
43.2929,0.005638
43.2998,0.006866
43.3047,0.004926
43.3106,0.005930
43.3174,0.006826
43.3223,0.004890
43.3280,0.005686
43.3358,0.007816
43.3402,0.004402
43.3462,0.006015
43.3528,0.006569
43.3587,0.005881
43.3654,0.006710
43.3706,0.005221
43.3763,0.005700
43.3840,0.007646
43.3883,0.004333
43.3943,0.006019
43.4009,0.006611
43.4060,0.005094
43.4117,0.005642
43.4191,0.007419
43.4241,0.004997
43.4301,0.006028
43.4361,0.006025
43.4418,0.005700
43.4482,0.006368
43.4538,0.005551
43.4595,0.005716
43.4662,0.006749
43.4714,0.005134
43.4774,0.006000
43.4849,0.007541
43.4897,0.004762
43.4953,0.005627
43.5027,0.007380
43.5079,0.005202
43.5139,0.006072
43.5198,0.005872
43.5258,0.005971
43.5322,0.006420
43.5412,0.008969
43.5480,0.006846
43.5562,0.008143
43.5590,0.002832
43.5652,0.006253
43.5706,0.005319
43.5762,0.005662
43.5836,0.007376
43.5886,0.004974
43.5946,0.005977
43.6015,0.006899
43.6067,0.005236
43.6126,0.005912
43.6198,0.007167
43.6257,0.005941
43.6325,0.006806
43.6376,0.005062
43.6436,0.005977
43.6501,0.006515
43.6554,0.005322
43.6611,0.005724
43.6683,0.007206
43.6733,0.004936
43.6791,0.005827
43.6865,0.007428
43.6923,0.005740
43.6982,0.005913
43.7038,0.005618
43.7097,0.005937
43.7165,0.006758
43.7298,0.013349
43.7489,0.019025
43.7509,0.002064
43.7532,0.002262
43.7550,0.001774
43.7564,0.001478
43.7613,0.004842
43.7683,0.007049
43.7734,0.005097
43.7791,0.005641
43.7870,0.007923
43.7919,0.004932
43.7990,0.007103
43.8038,0.004730
43.8097,0.005922
43.8165,0.006792
43.8215,0.005056
43.8272,0.005724
43.8345,0.007222
43.8391,0.004624
43.8452,0.006154
43.8528,0.007559
43.8575,0.004728
43.8633,0.005777
43.8696,0.006308
43.8754,0.005817
43.8823,0.006915
43.8883,0.005997
43.8938,0.005413
43.9002,0.006463
43.9058,0.005615
43.9117,0.005816
43.9191,0.007490
43.9240,0.004861
43.9299,0.005918
43.9362,0.006271
43.9423,0.006142
43.9489,0.006519
43.9542,0.005364
43.9598,0.005581
43.9668,0.007043
43.9719,0.005019
43.9778,0.005938
43.9849,0.007109
43.9901,0.005147
43.9959,0.005857
44.0031,0.007148
44.0087,0.005612
44.0160,0.007341
44.0205,0.004482
44.0265,0.006022
44.0334,0.006875
44.0384,0.005025
44.0443,0.005913
44.0513,0.006963
44.0562,0.004875
44.0627,0.006488
44.0694,0.006779
44.0755,0.006025
44.0820,0.006500
44.0880,0.006028
44.0934,0.005404
44.1001,0.006694
44.1052,0.005146
44.1112,0.005983
44.1182,0.007011
44.1239,0.005696
44.1293,0.005351
44.1363,0.006994
44.1419,0.005655
44.1490,0.007109
44.1539,0.004869
44.1599,0.005984
44.1666,0.006707
44.1719,0.005346
44.1775,0.005589
44.1847,0.007226
44.1903,0.005560
44.1962,0.005852
44.2027,0.006584
44.2087,0.005993
44.2156,0.006824
44.2208,0.005237
44.2266,0.005756
44.2335,0.006930
44.2384,0.004938
44.2445,0.006045
44.2517,0.007283
44.2568,0.005061
44.2626,0.005811
44.2697,0.007042
44.2754,0.005691
44.2823,0.006934
44.2876,0.005335
44.2935,0.005925
44.3001,0.006522
44.3052,0.005105
44.3109,0.005698
44.3181,0.007249
44.3229,0.004739
44.3289,0.006028
44.3359,0.007043
44.3417,0.005786
44.3474,0.005643
44.3535,0.006103
44.3591,0.005634
44.3657,0.006587
44.3708,0.005134
44.3769,0.006063
44.3834,0.006534
44.3889,0.005444
44.3945,0.005660
44.4016,0.007039
44.4065,0.004933
44.4127,0.006244
44.4194,0.006691
44.4253,0.005922
44.4318,0.006450
44.4372,0.005380
44.4428,0.005590
44.4494,0.006676
44.4551,0.005649
44.4609,0.005776
44.4676,0.006748
44.4727,0.005040
44.4783,0.005690
44.4859,0.007563
44.4919,0.005995
44.4975,0.005613
44.5031,0.005592
44.5089,0.005804
44.5223,0.013377
44.5400,0.017719
44.5417,0.001729
44.5435,0.001735
44.5453,0.001818
44.5468,0.001484
44.5528,0.006018
44.5585,0.005676
44.5654,0.006964
44.5703,0.004912
44.5763,0.005975
44.5827,0.006410
44.5880,0.005274
44.5939,0.005908
44.6008,0.006872
44.6057,0.004908
44.6115,0.005807
44.6188,0.007338
44.6238,0.005010
44.6296,0.005729
44.6361,0.006532
44.6417,0.005623
44.6486,0.006868
44.6536,0.004948
44.6596,0.006068
44.6661,0.006455
44.6713,0.005225
44.6772,0.005883
44.6843,0.007137
44.6888,0.004521
44.6951,0.006291
44.7021,0.006987
44.7077,0.005571
44.7133,0.005572
44.7199,0.006614
44.7254,0.005553
44.7314,0.005940
44.7367,0.005310
44.7425,0.005804
44.7493,0.006838
44.7546,0.005282
44.7603,0.005659
44.7678,0.007578
44.7720,0.004166
44.7780,0.005964
44.7855,0.007532
44.7901,0.004591
44.7959,0.005807
44.8027,0.006816
44.8084,0.005658
44.8153,0.006885
44.8202,0.004970
44.8262,0.005993
44.8327,0.006526
44.8380,0.005276
44.8438,0.005822
44.8508,0.006938
44.8557,0.004896
44.8617,0.006022
44.8689,0.007163
44.8740,0.005120
44.8799,0.005964
44.8862,0.006237
44.8927,0.006499
44.8988,0.006081
44.9038,0.005036
44.9097,0.005934
44.9165,0.006788
44.9217,0.005128
44.9272,0.005591
44.9344,0.007188
44.9393,0.004855
44.9453,0.006009
44.9526,0.007295
44.9582,0.005625
44.9641,0.005871
44.9701,0.005976
44.9758,0.005745
44.9825,0.006712
44.9876,0.005079
44.9946,0.006980
45.0010,0.006426
45.0060,0.005026
45.0117,0.005672
45.0194,0.007670
45.0245,0.005153
45.0308,0.006264
45.0364,0.005635
45.0423,0.005881
45.0487,0.006445
45.0542,0.005437
45.0598,0.005618
45.0670,0.007214
45.0717,0.004674
45.0778,0.006146
45.0846,0.006765
45.0898,0.005199
45.0962,0.006426
45.1027,0.006477
45.1085,0.005806
45.1153,0.006764
45.1202,0.004876
45.1263,0.006132
45.1326,0.006270
45.1379,0.005349
45.1437,0.005765
45.1506,0.006952
45.1555,0.004929
45.1616,0.006027
45.1687,0.007165
45.1740,0.005247
45.1796,0.005633
45.1861,0.006475
45.1917,0.005603
45.1989,0.007179
45.2040,0.005112
45.2099,0.005893
45.2167,0.006793
45.2222,0.005481
45.2278,0.005625
45.2354,0.007659
45.2397,0.004291
45.2458,0.006109
45.2525,0.006619
45.2583,0.005863
45.2647,0.006398
45.2702,0.005442
45.2761,0.005965
45.2828,0.006626
45.2875,0.004798
45.2937,0.006134
45.3070,0.013292
45.3255,0.018560
45.3273,0.001762
45.3289,0.001596
45.3314,0.002458
45.3340,0.002665
45.3378,0.003826
45.3437,0.005854
45.3507,0.006957
45.3555,0.004875
45.3615,0.006000
45.3688,0.007248
45.3741,0.005355
45.3798,0.005626
45.3860,0.006212
45.3916,0.005651
45.3991,0.007428
45.4037,0.004655
45.4099,0.006169
45.4165,0.006665
45.4217,0.005138
45.4274,0.005716
45.4346,0.007173
45.4396,0.005062
45.4454,0.005813
45.4522,0.006790
45.4583,0.006041
45.4644,0.006138
45.4702,0.005790
45.4758,0.005567
45.4823,0.006576
45.4875,0.005170
45.4934,0.005936
45.5009,0.007456
45.5058,0.004925
45.5116,0.005764
45.5195,0.007858
45.5244,0.004992
45.5306,0.006114
45.5363,0.005729
45.5422,0.005866
45.5487,0.006506
45.5538,0.005175
45.5595,0.005716
45.5663,0.006755
45.5713,0.005002
45.5774,0.006065
45.5843,0.006960
45.5891,0.004771
45.5950,0.005873
45.6030,0.008038
45.6080,0.004987
45.6148,0.006798
45.6198,0.004972
45.6258,0.006053
45.6322,0.006393
45.6376,0.005399
45.6435,0.005868
45.6501,0.006648
45.6549,0.004799
45.6611,0.006119
45.6680,0.006911
45.6732,0.005242
45.6789,0.005655
45.6859,0.007046
45.6915,0.005648
45.6987,0.007171
45.7034,0.004702
45.7098,0.006351
45.7160,0.006224
45.7214,0.005416
45.7271,0.005651
45.7340,0.006976
45.7391,0.005087
45.7451,0.005930
45.7522,0.007148
45.7578,0.005546
45.7635,0.005763
45.7697,0.006196
45.7755,0.005745
45.7820,0.006502
45.7873,0.005296
45.7932,0.005913
45.8007,0.007495
45.8053,0.004613
45.8109,0.005651
45.8185,0.007561
45.8233,0.004814
45.8292,0.005911
45.8360,0.006759
45.8417,0.005702
45.8485,0.006789
45.8536,0.005135
45.8592,0.005596
45.8660,0.006806
45.8710,0.004978
45.8772,0.006205
45.8839,0.006691
45.8888,0.004940
45.8946,0.005837
45.9028,0.008198
45.9071,0.004208
45.9131,0.005997
45.9190,0.005986
45.9252,0.006134
45.9315,0.006327
45.9368,0.005339
45.9425,0.005712
45.9492,0.006666
45.9544,0.005147
45.9603,0.005967
45.9670,0.006660
45.9720,0.005047
45.9778,0.005754
45.9855,0.007666
45.9901,0.004635
45.9961,0.006025
46.0033,0.007231
46.0085,0.005201
46.0150,0.006457
46.0203,0.005275
46.0260,0.005671
46.0325,0.006592
46.0378,0.005279
46.0439,0.006032
46.0506,0.006742
46.0557,0.005106
46.0613,0.005633
46.0701,0.008727
46.0745,0.004425
46.0809,0.006456
46.0927,0.011784
46.1114,0.018636
46.1132,0.001820
46.1158,0.002615
46.1183,0.002487
46.1201,0.001776
46.1248,0.004757
46.1305,0.005728
46.1365,0.005941
46.1420,0.005513
46.1487,0.006655
46.1538,0.005100
46.1598,0.006039
46.1665,0.006746
46.1716,0.005056
46.1774,0.005756
46.1846,0.007277
46.1894,0.004774
46.1954,0.006019
46.2027,0.007257
46.2084,0.005683
46.2146,0.006232
46.2202,0.005631
46.2258,0.005585
46.2324,0.006552
46.2376,0.005191
46.2435,0.005983
46.2503,0.006798
46.2554,0.005052
46.2610,0.005655
46.2687,0.007656
46.2733,0.004585
46.2792,0.005906
46.2860,0.006784
46.2920,0.005994
46.2983,0.006333
46.3036,0.005342
46.3093,0.005665
46.3162,0.006883
46.3212,0.004965
46.3271,0.005910
46.3342,0.007085
46.3391,0.004912
46.3449,0.005877
46.3522,0.007265
46.3577,0.005500
46.3642,0.006543
46.3694,0.005172
46.3755,0.006090
46.3818,0.006270
46.3872,0.005407
46.3930,0.005843
46.3997,0.006631
46.4047,0.005080
46.4107,0.005959
46.4175,0.006826
46.4226,0.005065
46.4283,0.005702
46.4356,0.007352
46.4409,0.005300
46.4476,0.006697
46.4528,0.005131
46.4587,0.005909
46.4651,0.006417
46.4705,0.005424
46.4763,0.005778
46.4833,0.006983
46.4883,0.005019
46.4943,0.005982
46.5019,0.007661
46.5067,0.004739
46.5121,0.005377
46.5190,0.006903
46.5245,0.005526
46.5318,0.007336
46.5362,0.004373
46.5420,0.005836
46.5486,0.006572
46.5539,0.005292
46.5594,0.005552
