Time (s),DeltaTime (s)
59.9302,0.004426
59.9419,0.011740
59.9499,0.007951
59.9520,0.002117
59.9567,0.004702
59.9611,0.004447
59.9640,0.002928
59.9661,0.002010
59.9683,0.002271
59.9707,0.002403
59.9746,0.003918
59.9768,0.002136
59.9791,0.002290
59.9821,0.002980
59.9849,0.002889
59.9889,0.003949
59.9939,0.004958
59.9962,0.002379
59.9993,0.003121
60.0026,0.003299
60.0065,0.003889
60.0107,0.004177
60.0131,0.002367
60.0158,0.002720
60.0191,0.003257
60.0233,0.004280
60.0253,0.001975
60.0279,0.002626
60.0309,0.002995
60.0334,0.002479
60.0371,0.003714
60.0413,0.004188
60.0438,0.002505
60.0467,0.002866
60.0573,0.010635
60.0601,0.002766
60.0622,0.002069
60.0640,0.001805
60.0658,0.001795
60.0678,0.002077
60.0698,0.001986
60.0740,0.004151
60.0794,0.005403
60.0813,0.001890
60.0837,0.002417
60.0874,0.003720
60.0933,0.005905
60.0951,0.001782
60.0976,0.002548
60.1006,0.002949
60.1051,0.004507
60.1098,0.004687
60.1119,0.002123
60.1154,0.003446
60.1174,0.002070
60.1214,0.003978
60.1245,0.003054
60.1273,0.002855
60.1297,0.002382
60.1337,0.004023
60.1361,0.002386
60.1402,0.004092
60.1423,0.002083
60.1459,0.003663
60.1479,0.002001
60.1509,0.002999
60.1546,0.003688
60.1577,0.003091
60.1604,0.002646
60.1634,0.003025
60.1656,0.002173
60.1683,0.002749
60.1728,0.004502
60.1756,0.002767
60.1777,0.002108
60.1803,0.002601
60.1832,0.002927
60.1866,0.003342
60.1906,0.004062
60.1928,0.002172
60.1956,0.002801
60.1987,0.003084
60.2010,0.002285
60.2048,0.003863
60.2077,0.002867
60.2106,0.002878
60.2130,0.002408
60.2157,0.002705
60.2184,0.002718
60.2236,0.005231
60.2259,0.002262
60.2285,0.002578
60.2317,0.003225
60.2348,0.003103
60.2384,0.003576
60.2421,0.003706
60.2458,0.003733
60.2482,0.002347
60.2507,0.002576
60.2545,0.003754
60.2581,0.003593
60.2601,0.001998
60.2628,0.002739
60.2654,0.002583
60.2688,0.003434
60.2731,0.004296
60.2754,0.002298
60.2777,0.002249
60.2808,0.003140
60.2833,0.002504
60.2869,0.003530
60.2910,0.004147
60.2928,0.001828
60.2955,0.002652
60.2982,0.002699
60.3016,0.003396
60.3050,0.003442
60.3079,0.002888
60.3104,0.002458
60.3134,0.003014
60.3161,0.002729
60.3190,0.002941
60.3238,0.004777
60.3257,0.001862
60.3281,0.002384
60.3309,0.002804
60.3339,0.003013
60.3373,0.003392
60.3406,0.003316
60.3434,0.002782
60.3473,0.003885
60.3497,0.002432
60.3524,0.002684
60.3564,0.004060
60.3593,0.002815
60.3617,0.002403
60.3645,0.002836
60.3670,0.002533
60.3711,0.004062
60.3742,0.003079
60.3763,0.002165
60.3798,0.003458
60.3825,0.002750
60.3848,0.002307
60.3889,0.004101
60.3915,0.002584
60.3948,0.003297
60.3979,0.003118
60.4010,0.003064
60.4053,0.004334
60.4084,0.003017
60.4112,0.002806
60.4142,0.003010
60.4170,0.002825
60.4197,0.002712
60.4243,0.004636
60.4270,0.002646
60.4290,0.002043
60.4318,0.002756
60.4344,0.002603
60.4387,0.004258
60.4414,0.002781
60.4450,0.003544
60.4476,0.002609
60.4505,0.002947
60.4538,0.003251
60.4575,0.003732
60.4599,0.002349
60.4629,0.003055
60.4652,0.002298
60.4679,0.002672
60.4720,0.004128
60.4751,0.003044
60.4773,0.002272
60.4799,0.002536
60.4826,0.002746
60.4859,0.003301
60.4903,0.004385
60.4924,0.002109
60.4949,0.002478
60.4979,0.003006
60.5006,0.002738
60.5044,0.003721
60.5076,0.003245
60.5102,0.002612
60.5128,0.002560
60.5154,0.002603
60.5183,0.002883
60.5228,0.004590
60.5248,0.001959
60.5274,0.002584
60.5301,0.002715
60.5332,0.003138
60.5360,0.002709
60.5405,0.004514
60.5425,0.002064
60.5464,0.003860
60.5488,0.002372
60.5518,0.002986
60.5557,0.003940
60.5585,0.002820
60.5607,0.002237
60.5634,0.002675
60.5661,0.002673
60.5693,0.003222
60.5735,0.004146
60.5757,0.002269
60.5785,0.002734
60.5816,0.003153
60.5840,0.002345
60.5878,0.003876
