Time (s),DeltaTime (s)
58.3581,0.004486
58.3690,0.010907
58.3785,0.009456
58.3817,0.003213
58.3834,0.001762
58.3866,0.003124
58.3902,0.003643
58.3925,0.002270
58.3979,0.005379
58.4076,0.009778
58.4122,0.004542
58.4211,0.008916
58.4255,0.004388
58.4324,0.006872
58.4391,0.006752
58.4459,0.006797
58.4531,0.007187
58.4592,0.006070
58.4657,0.006494
58.4735,0.007871
58.4805,0.006936
58.4887,0.008239
58.4940,0.005301
58.5002,0.006179
58.5183,0.018119
58.5319,0.013572
58.5461,0.014188
58.5592,0.013148
58.5696,0.010397
58.5755,0.005865
58.5862,0.010747
58.5994,0.013147
58.6124,0.013057
58.6237,0.011318
58.6332,0.009425
58.6449,0.011745
58.6578,0.012843
58.6656,0.007898
58.6699,0.004264
58.6751,0.005218
58.6779,0.002795
58.6798,0.001842
58.6815,0.001742
58.6858,0.004247
58.6917,0.005953
58.6974,0.005713
58.7146,0.017199
58.7292,0.014539
58.7415,0.012355
58.7522,0.010640
58.7571,0.004960
58.7590,0.001912
58.7609,0.001828
58.7635,0.002626
58.7771,0.013582
58.7798,0.002693
58.7827,0.002901
58.7920,0.009366
58.7949,0.002890
58.7967,0.001750
58.8067,0.010060
58.8091,0.002418
58.8156,0.006450
58.8246,0.008979
58.8284,0.003807
58.8358,0.007435
58.8409,0.005107
58.8471,0.006198
58.8547,0.007588
58.8595,0.004770
58.8655,0.006016
58.8722,0.006754
58.8778,0.005594
58.8849,0.007078
58.8900,0.005053
58.8968,0.006791
58.9035,0.006746
58.9087,0.005171
58.9163,0.007662
58.9221,0.005729
58.9284,0.006378
58.9357,0.007224
58.9406,0.004917
58.9583,0.017702
58.9603,0.002018
58.9656,0.005334
58.9734,0.007729
58.9763,0.002963
58.9785,0.002157
58.9883,0.009807
59.0046,0.016290
59.0176,0.012989
59.0324,0.014782
59.0382,0.005869
59.0413,0.003094
59.0432,0.001856
59.0449,0.001764
59.0467,0.001758
59.0490,0.002331
59.0593,0.010299
59.0628,0.003444
59.0709,0.008133
59.0768,0.005930
59.0816,0.004798
59.0976,0.016009
59.1114,0.013761
59.1277,0.016259
59.1298,0.002185
59.1318,0.002000
59.1350,0.003110
59.1378,0.002863
59.1411,0.003324
59.1473,0.006172
59.1548,0.007449
59.1594,0.004647
59.1658,0.006435
59.1718,0.005977
59.1782,0.006404
59.1848,0.006603
59.1902,0.005390
59.1963,0.006099
59.2034,0.007056
59.2087,0.005283
59.2150,0.006320
59.2225,0.007511
59.2286,0.006089
59.2348,0.006236
59.2403,0.005502
59.2532,0.012871
59.2650,0.011807
