Time (s),DeltaTime (s)
60.9839,0.006510
60.9937,0.009766
61.0043,0.010632
61.0126,0.008303
61.0158,0.003214
61.0184,0.002584
61.0225,0.004097
61.0243,0.001853
61.0261,0.001774
61.0306,0.004479
61.0391,0.008491
61.0438,0.004748
61.0520,0.008156
61.0564,0.004372
61.0627,0.006306
61.0725,0.009840
61.0766,0.004104
61.0827,0.006118
61.0884,0.005698
61.0944,0.005971
61.1019,0.007536
61.1069,0.004978
61.1131,0.006233
61.1199,0.006710
61.1260,0.006144
61.1326,0.006629
61.1383,0.005629
61.1441,0.005845
61.1514,0.007318
61.1565,0.005090
61.1626,0.006046
61.1696,0.007039
61.1757,0.006063
61.1823,0.006630
61.1887,0.006397
61.1941,0.005370
61.2017,0.007645
61.2063,0.004558
61.2125,0.006283
61.2198,0.007280
61.2259,0.006027
61.2326,0.006765
61.2382,0.005583
61.2442,0.005971
61.2515,0.007283
61.2563,0.004887
61.2627,0.006403
61.2699,0.007171
61.2761,0.006156
61.2827,0.006599
61.2884,0.005717
61.2942,0.005806
61.3022,0.008015
61.3073,0.005067
61.3131,0.005834
61.3196,0.006477
61.3257,0.006145
61.3325,0.006730
61.3381,0.005603
61.3440,0.005910
61.3514,0.007421
61.3564,0.005042
61.3626,0.006210
61.3700,0.007372
61.3760,0.005971
61.3827,0.006745
61.3884,0.005637
61.3943,0.005925
61.4027,0.008416
61.4073,0.004563
61.4135,0.006187
61.4202,0.006708
61.4262,0.005995
61.4329,0.006724
61.4385,0.005600
61.4444,0.005885
61.4523,0.007917
61.4570,0.004757
61.4632,0.006197
61.4700,0.006747
61.4761,0.006064
61.4920,0.015964
61.5059,0.013869
61.5227,0.016807
61.5249,0.002225
61.5286,0.003696
61.5306,0.002029
61.5332,0.002551
61.5360,0.002757
61.5409,0.004905
61.5468,0.005925
61.5530,0.006241
61.5592,0.006196
61.5660,0.006765
61.5716,0.005588
61.5776,0.006067
61.5847,0.007062
61.5898,0.005123
61.5960,0.006146
61.6039,0.007891
61.6097,0.005870
61.6163,0.006610
61.6221,0.005712
61.6279,0.005892
61.6353,0.007382
61.6406,0.005256
61.6467,0.006111
61.6533,0.006630
61.6600,0.006704
61.6663,0.006305
61.6717,0.005367
61.6776,0.005885
61.6849,0.007326
61.6901,0.005235
61.6963,0.006110
61.7040,0.007746
61.7100,0.006006
