Time (s),DeltaTime (s)
59.7596,0.005636
59.7695,0.009903
59.7784,0.008935
59.7863,0.007825
59.7889,0.002603
59.7911,0.002221
59.7950,0.003879
59.7979,0.002916
59.7998,0.001957
59.8016,0.001714
59.8042,0.002650
59.8126,0.008341
59.8143,0.001769
59.8171,0.002800
59.8213,0.004222
59.8283,0.007002
59.8300,0.001650
59.8343,0.004328
59.8397,0.005367
59.8450,0.005350
59.8469,0.001823
59.8508,0.003937
59.8554,0.004635
59.8588,0.003353
59.8625,0.003727
59.8660,0.003505
59.8700,0.003930
59.8759,0.005919
59.8776,0.001757
59.8812,0.003588
59.8849,0.003691
59.8911,0.006214
59.8939,0.002792
59.8978,0.003889
59.9014,0.003583
59.9059,0.004497
59.9091,0.003225
59.9132,0.004056
59.9167,0.003513
59.9206,0.003950
59.9256,0.004993
59.9292,0.003539
59.9326,0.003463
59.9364,0.003805
59.9414,0.004971
59.9445,0.003102
59.9482,0.003742
59.9518,0.003551
59.9567,0.004922
59.9615,0.004809
59.9638,0.002287
59.9672,0.003424
59.9726,0.005417
59.9756,0.002980
59.9793,0.003673
59.9831,0.003762
59.9867,0.003604
59.9936,0.006913
59.9953,0.001703
59.9985,0.003178
60.0022,0.003740
60.0078,0.005591
60.0099,0.002091
60.0134,0.003481
60.0170,0.003622
60.0221,0.005147
60.0255,0.003381
60.0291,0.003619
60.0331,0.003938
60.0369,0.003855
60.0422,0.005263
60.0451,0.002865
60.0485,0.003429
60.0523,0.003763
60.0575,0.005271
60.0600,0.002485
60.0635,0.003523
60.0674,0.003878
60.0720,0.004595
60.0755,0.003522
60.0795,0.004018
60.0831,0.003567
60.0867,0.003554
60.0931,0.006483
60.0950,0.001861
60.0988,0.003758
60.1022,0.003408
60.1074,0.005201
60.1100,0.002603
60.1135,0.003493
60.1173,0.003847
60.1214,0.004085
60.1256,0.004180
60.1294,0.003826
60.1329,0.003473
60.1365,0.003602
60.1425,0.005996
60.1444,0.001971
60.1480,0.003598
60.1517,0.003645
60.1564,0.004747
60.1596,0.003206
60.1634,0.003718
60.1671,0.003786
60.1712,0.004004
60.1755,0.004391
60.1795,0.003916
60.1829,0.003390
60.1865,0.003638
60.1935,0.007020
60.1953,0.001743
