Time (s),DeltaTime (s)
16.5441,0.008003
16.5555,0.011483
16.5635,0.007935
16.5675,0.004024
16.5739,0.006443
16.5788,0.004909
16.5814,0.002568
16.5877,0.006324
16.5948,0.007108
16.5977,0.002839
16.6017,0.004036
16.6077,0.005969
16.6110,0.003293
16.6151,0.004072
16.6229,0.007826
16.6281,0.005263
16.6307,0.002585
16.6370,0.006261
16.6412,0.004232
16.6435,0.002285
16.6468,0.003279
16.6496,0.002812
16.6570,0.007435
16.6605,0.003438
16.6634,0.002910
16.6689,0.005476
16.6745,0.005602
16.6775,0.003027
16.6802,0.002673
16.6936,0.013487
16.6963,0.002651
16.6987,0.002440
16.7058,0.007052
16.7119,0.006086
16.7150,0.003135
16.7200,0.004983
16.7268,0.006765
16.7294,0.002647
16.7316,0.002205
16.7361,0.004471
16.7417,0.005586
16.7469,0.005187
16.7505,0.003680
16.7568,0.006249
16.7593,0.002519
16.7620,0.002696
16.7645,0.002474
16.7687,0.004235
16.7742,0.005454
16.7771,0.002964
16.7800,0.002856
16.7826,0.002591
16.7910,0.008395
16.7939,0.002946
16.7960,0.002127
16.7983,0.002224
16.8058,0.007564
16.8097,0.003917
16.8120,0.002233
16.8146,0.002581
16.8190,0.004418
16.8247,0.005704
16.8274,0.002671
16.8300,0.002684
16.8334,0.003350
16.8388,0.005445
16.8433,0.004504
16.8463,0.003004
16.8491,0.002806
16.8567,0.007526
16.8595,0.002864
16.8619,0.002361
16.8649,0.002965
16.8719,0.007075
16.8767,0.004769
16.8793,0.002598
16.8830,0.003708
16.8888,0.005793
16.8952,0.006425
16.8981,0.002877
16.9050,0.006865
16.9104,0.005462
16.9134,0.002923
16.9157,0.002355
16.9230,0.007332
16.9265,0.003439
16.9287,0.002188
16.9313,0.002598
16.9364,0.005108
16.9417,0.005321
16.9444,0.002652
16.9470,0.002690
16.9497,0.002663
16.9561,0.006434
16.9598,0.003643
16.9623,0.002532
16.9646,0.002245
16.9694,0.004887
16.9752,0.005705
16.9778,0.002614
16.9798,0.002047
16.9823,0.002535
16.9884,0.006085
16.9939,0.005460
16.9961,0.002166
16.9989,0.002834
17.0042,0.005334
17.0081,0.003826
17.0114,0.003389
17.0138,0.002314
17.0161,0.002319
17.0219,0.005808
17.0264,0.004495
17.0285,0.002078
17.0305,0.002064
17.0347,0.004224
17.0403,0.005553
17.0436,0.003279
17.0465,0.002960
17.0499,0.003327
17.0564,0.006557
17.0594,0.002987
17.0619,0.002492
17.0640,0.002121
17.0682,0.004166
17.0741,0.005888
17.0767,0.002676
17.0788,0.002015
17.0815,0.002733
17.0871,0.005561
17.0928,0.005772
17.0955,0.002656
17.0992,0.003713
17.1045,0.005255
17.1094,0.004968
17.1118,0.002374
17.1145,0.002673
17.1186,0.004124
17.1246,0.005962
17.1274,0.002825
17.1301,0.002756
17.1357,0.005524
17.1411,0.005450
17.1441,0.002979
17.1470,0.002936
17.1504,0.003331
17.1565,0.006169
17.1601,0.003578
17.1626,0.002520
17.1708,0.008183
17.1749,0.004081
17.1769,0.002027
17.1793,0.002340
17.1824,0.003123
17.1883,0.005905
17.1927,0.004446
17.1957,0.002991
17.1978,0.002080
17.2012,0.003426
17.2072,0.006016
17.2109,0.003693
17.2129,0.001960
17.2160,0.003085
17.2232,0.007179
17.2262,0.003063
17.2284,0.002204
17.2308,0.002366
