Time (s),DeltaTime (s)
24.5630,0.005264
24.5742,0.011149
24.5828,0.008660
24.5855,0.002674
24.5877,0.002178
24.5899,0.002198
24.5929,0.003005
24.5959,0.003031
24.5981,0.002132
24.6007,0.002668
24.6028,0.002072
24.6048,0.001955
24.6100,0.005210
24.6154,0.005456
24.6182,0.002772
24.6211,0.002881
24.6239,0.002812
24.6303,0.006426
24.6333,0.002964
24.6364,0.003133
24.6392,0.002809
24.6420,0.002741
24.6455,0.003522
24.6476,0.002064
24.6505,0.002943
24.6531,0.002593
24.6562,0.003126
24.6599,0.003689
24.6623,0.002407
24.6650,0.002689
24.6683,0.003258
24.6704,0.002136
24.6731,0.002700
24.6799,0.006790
24.6850,0.005155
24.6881,0.003061
24.6973,0.009176
24.7036,0.006293
24.7095,0.005955
24.7157,0.006138
24.7227,0.007080
24.7306,0.007830
24.7499,0.019330
24.7527,0.002761
24.7549,0.002190
24.7583,0.003420
24.7619,0.003643
24.7660,0.004117
24.7685,0.002433
24.7703,0.001851
24.7735,0.003177
24.7780,0.004522
24.7805,0.002456
24.7825,0.002011
24.7846,0.002089
24.7868,0.002205
24.7892,0.002379
24.7924,0.003236
24.7960,0.003586
24.8060,0.010052
24.8175,0.011446
24.8301,0.012658
24.8389,0.008773
24.8518,0.012862
24.8628,0.011012
24.8649,0.002161
24.8669,0.001942
24.8691,0.002248
24.8717,0.002581
24.8742,0.002462
24.8796,0.005451
24.8919,0.012321
24.9020,0.010046
24.9040,0.002047
24.9060,0.001951
24.9092,0.003244
24.9151,0.005903
24.9182,0.003053
24.9309,0.012728
24.9435,0.012619
24.9531,0.009613
24.9648,0.011669
24.9769,0.012116
24.9794,0.002488
24.9814,0.002009
24.9841,0.002696
24.9866,0.002454
24.9887,0.002168
24.9929,0.004148
24.9978,0.004929
25.0004,0.002585
25.0027,0.002311
25.0049,0.002224
25.0093,0.004381
25.0145,0.005174
25.0179,0.003384
25.0204,0.002560
25.0227,0.002239
25.0283,0.005610
25.0390,0.010707
25.0412,0.002167
25.0439,0.002726
25.0463,0.002428
25.0485,0.002146
25.0514,0.002884
25.0637,0.012381
25.0750,0.011239
25.0789,0.003895
25.0812,0.002376
25.0832,0.001973
25.0864,0.003219
25.0899,0.003419
25.0947,0.004890
25.0999,0.005149
25.1107,0.010819
25.1210,0.010317
25.1320,0.010997
25.1342,0.002161
25.1360,0.001849
25.1390,0.002935
25.1448,0.005863
25.1498,0.005000
25.1578,0.008016
25.1669,0.009098
25.1731,0.006177
25.1780,0.004897
25.1840,0.005948
25.1872,0.003215
25.1999,0.012708
25.2141,0.014187
25.2240,0.009927
25.2297,0.005691
25.2324,0.002747
25.2352,0.002750
25.2373,0.002122
25.2410,0.003694
25.2449,0.003916
25.2478,0.002830
25.2508,0.003052
25.2530,0.002149
25.2549,0.001957
25.2581,0.003163
25.2620,0.003925
25.2649,0.002934
25.2677,0.002784
25.2697,0.002032
25.2727,0.002909
25.2760,0.003375
25.2816,0.005605
25.2841,0.002503
25.2862,0.002016
25.2889,0.002790
25.2932,0.004229
25.2961,0.002965
25.2982,0.002094
25.3013,0.003088
25.3037,0.002330
25.3075,0.003796
25.3109,0.003444
25.3133,0.002451
25.3175,0.004115
25.3198,0.002334
25.3229,0.003095
25.3261,0.003215
25.3292,0.003111
25.3320,0.002749
25.3341,0.002157
25.3369,0.002731
25.3400,0.003131
25.3438,0.003831
25.3469,0.003120
25.3491,0.002124
25.3519,0.002839
25.3538,0.001934
25.3580,0.004204
25.3621,0.004014
25.3643,0.002265
25.3664,0.002070
25.3689,0.002518
25.3728,0.003854
25.3760,0.003239
25.3783,0.002346
25.3808,0.002431
25.3838,0.003022
25.3867,0.002931
25.3889,0.002166
25.3925,0.003651
25.3964,0.003846
25.3999,0.003530
25.4030,0.003065
25.4051,0.002151
25.4094,0.004251
25.4125,0.003108
25.4157,0.003196
25.4196,0.003863
25.4221,0.002520
25.4258,0.003706
25.4299,0.004162
25.4324,0.002416
25.4345,0.002135
25.4376,0.003060
25.4411,0.003532
25.4454,0.004357
25.4488,0.003311
25.4528,0.004073
25.4578,0.004986
25.4619,0.004128
25.4649,0.002965
25.4674,0.002463
25.4695,0.002140
25.4716,0.002056
25.4755,0.003957
25.4781,0.002533
25.4808,0.002707
25.4831,0.002356
25.4862,0.003080
25.4887,0.002452
25.4936,0.004940
25.4970,0.003455
25.4995,0.002445
25.5025,0.002980
25.5050,0.002513
25.5096,0.004573
25.5121,0.002558
25.5148,0.002665
25.5182,0.003388
25.5217,0.003545
25.5254,0.003708
25.5286,0.003222
25.5317,0.003010
25.5340,0.002317
25.5368,0.002833
25.5397,0.002863
25.5438,0.004174
25.5466,0.002792
25.5494,0.002786
25.5519,0.002443
25.5547,0.002790
25.5577,0.003068
25.5610,0.003275
25.5713,0.010295
25.5837,0.012366
25.5940,0.010347
25.5963,0.002268
25.5981,0.001792
25.6011,0.003021
25.6033,0.002239
25.6057,0.002334
25.6078,0.002191
25.6120,0.004173
25.6146,0.002617
25.6181,0.003513
25.6204,0.002209
25.6228,0.002408
25.6275,0.004688
25.6354,0.007916
25.6508,0.015427
25.6620,0.011224
25.6706,0.008563
25.6811,0.010497
25.6947,0.013652
25.7040,0.009230
25.7147,0.010761
25.7268,0.012122
25.7360,0.009140
25.7472,0.011168
25.7573,0.010144
25.7689,0.011576
25.7797,0.010876
25.7888,0.009013
25.8008,0.012018
25.8117,0.010874
25.8209,0.009289
25.8326,0.011653
25.8448,0.012180
25.8549,0.010104
25.8671,0.012256
25.8786,0.011438
25.8874,0.008872
25.8976,0.010160
25.8999,0.002262
25.9018,0.001920
25.9064,0.004593
25.9190,0.012643
25.9212,0.002147
25.9240,0.002806
25.9280,0.004024
25.9308,0.002834
25.9337,0.002837
25.9371,0.003473
25.9400,0.002812
25.9468,0.006881
25.9494,0.002611
25.9516,0.002198
25.9540,0.002351
25.9586,0.004606
25.9643,0.005664
25.9723,0.008009
25.9779,0.005614
25.9828,0.004913
25.9854,0.002567
25.9877,0.002370
25.9914,0.003679
25.9956,0.004149
25.9981,0.002511
26.0005,0.002416
26.0029,0.002424
26.0062,0.003321
26.0109,0.004647
26.0142,0.003335
26.0175,0.003277
26.0210,0.003514
26.0257,0.004667
26.0299,0.004236
26.0324,0.002455
26.0347,0.002332
26.0377,0.003037
26.0409,0.003137
26.0446,0.003687
26.0470,0.002445
26.0492,0.002230
26.0522,0.002960
26.0545,0.002280
26.0570,0.002558
26.0610,0.003958
26.0635,0.002517
26.0656,0.002121
26.0682,0.002596
26.0705,0.002269
26.0741,0.003586
26.0797,0.005632
26.0818,0.002063
26.0848,0.002999
26.0871,0.002316
26.0892,0.002117
26.0931,0.003861
26.0962,0.003100
26.0985,0.002369
26.1005,0.001937
26.1026,0.002163
26.1049,0.002208
26.1086,0.003717
26.1112,0.002616
26.1137,0.002467
26.1160,0.002368
26.1189,0.002846
26.1213,0.002402
26.1250,0.003736
26.1281,0.003062
26.1312,0.003157
26.1337,0.002462
26.1358,0.002147
26.1382,0.002403
26.1418,0.003560
26.1445,0.002689
26.1469,0.002451
26.1499,0.002930
26.1531,0.003246
26.1561,0.002951
26.1607,0.004647
26.1651,0.004408
26.1681,0.002965
26.1708,0.002710
26.1746,0.003843
26.1802,0.005581
26.1833,0.003113
26.1855,0.002157
26.1885,0.002998
26.1928,0.004291
26.1965,0.003723
26.1995,0.003006
26.2025,0.002967
26.2046,0.002123
26.2073,0.002702
26.2103,0.003004
26.2132,0.002937
26.2155,0.002215
26.2175,0.002079
26.2196,0.002038
26.2220,0.002407
26.2256,0.003653
26.2289,0.003289
26.2320,0.003092
26.2348,0.002760
26.2376,0.002809
26.2401,0.002504
26.2440,0.003877
26.2461,0.002107
26.2490,0.002943
26.2514,0.002392
26.2537,0.002299
26.2564,0.002686
26.2605,0.004112
26.2629,0.002388
26.2648,0.001911
26.2671,0.002278
26.2694,0.002353
26.2723,0.002865
26.2765,0.004235
26.2790,0.002506
26.2810,0.001943
26.2844,0.003406
26.2867,0.002348
26.2887,0.002010
26.2928,0.004042
26.2957,0.002921
26.2979,0.002218
26.3010,0.003037
26.3032,0.002243
26.3062,0.002999
26.3097,0.003514
26.3117,0.001979
26.3140,0.002277
26.3176,0.003648
26.3199,0.002270
26.3220,0.002114
26.3263,0.004312
26.3303,0.003977
26.3408,0.010508
26.3500,0.009216
26.3608,0.010779
26.3630,0.002171
26.3661,0.003141
26.3774,0.011336
26.3799,0.002419
26.3820,0.002179
26.3843,0.002297
26.3876,0.003271
26.3902,0.002574
26.3973,0.007085
26.4002,0.002924
26.4023,0.002143
26.4055,0.003189
26.4188,0.013261
26.4309,0.012116
26.4331,0.002177
26.4362,0.003092
26.4516,0.015389
26.4554,0.003825
26.4601,0.004670
26.4656,0.005529
26.4685,0.002927
26.4703,0.001837
26.4725,0.002171
26.4779,0.005413
26.4813,0.003335
26.4839,0.002650
26.4877,0.003773
26.4918,0.004074
26.4963,0.004548
26.4994,0.003102
26.5029,0.003485
26.5062,0.003280
26.5111,0.004908
26.5139,0.002812
26.5167,0.002794
26.5266,0.009952
26.5325,0.005812
26.5402,0.007783
26.5483,0.008070
26.5564,0.008093
26.5721,0.015716
26.5767,0.004572
26.5793,0.002629
26.5836,0.004246
26.5866,0.003078
26.5890,0.002345
26.5919,0.002877
26.5950,0.003109
26.5983,0.003285
26.6005,0.002209
26.6025,0.002024
26.6052,0.002698
26.6093,0.004103
26.6201,0.010765
26.6299,0.009853
26.6330,0.003044
26.6351,0.002159
26.6387,0.003582
26.6423,0.003605
26.6480,0.005681
26.6504,0.002447
26.6531,0.002689
26.6555,0.002397
26.6600,0.004501
26.6648,0.004794
26.6675,0.002697
26.6700,0.002515
26.6722,0.002136
26.6752,0.003080
26.6792,0.003933
26.6817,0.002480
26.6838,0.002163
26.6860,0.002212
26.6894,0.003383
26.6939,0.004464
26.6965,0.002673
26.6990,0.002421
26.7012,0.002189
26.7035,0.002386
26.7065,0.002917
26.7106,0.004183
26.7130,0.002358
26.7150,0.002037
26.7182,0.003176
26.7206,0.002378
26.7228,0.002244
26.7286,0.005749
26.7311,0.002523
26.7342,0.003062
26.7371,0.002948
26.7405,0.003352
26.7440,0.003564
26.7473,0.003224
26.7495,0.002260
26.7524,0.002911
26.7553,0.002879
26.7618,0.006471
26.7652,0.003457
26.7691,0.003894
26.7722,0.003085
26.7769,0.004672
26.7794,0.002488
26.7813,0.001940
26.7847,0.003332
26.7873,0.002608
26.7911,0.003838
26.7941,0.003009
26.7959,0.001802
26.7993,0.003370
26.8019,0.002633
26.8040,0.002112
26.8064,0.002423
26.8104,0.003964
26.8137,0.003264
26.8160,0.002306
26.8181,0.002160
26.8208,0.002657
26.8241,0.003288
26.8269,0.002791
26.8307,0.003873
