Time (s),DeltaTime (s)
39.7822,0.004395
39.7936,0.011418
39.8031,0.009496
39.8078,0.004713
39.8095,0.001725
39.8115,0.001988
39.8130,0.001523
39.8150,0.001933
39.8165,0.001519
39.8230,0.006530
39.8270,0.003973
39.8287,0.001740
39.8322,0.003421
39.8374,0.005284
39.8422,0.004761
39.8441,0.001897
39.8477,0.003604
39.8526,0.004883
39.8589,0.006282
39.8607,0.001845
39.8641,0.003394
39.8678,0.003680
39.8731,0.005355
39.8754,0.002242
39.8788,0.003432
39.8833,0.004517
39.8876,0.004253
39.8906,0.003055
39.8951,0.004497
39.8975,0.002395
39.9021,0.004564
39.9071,0.005011
39.9167,0.009603
39.9281,0.011404
39.9398,0.011689
39.9478,0.007985
39.9499,0.002092
39.9524,0.002484
39.9565,0.004103
39.9590,0.002553
39.9614,0.002347
39.9633,0.001939
39.9656,0.002336
39.9705,0.004820
39.9850,0.014554
39.9971,0.012133
40.0076,0.010478
40.0097,0.002123
40.0122,0.002440
40.0142,0.002037
40.0167,0.002471
40.0243,0.007572
40.0272,0.002939
40.0384,0.011242
40.0413,0.002833
40.0435,0.002250
40.0467,0.003189
40.0490,0.002283
40.0511,0.002142
40.0566,0.005497
40.0598,0.003193
40.0627,0.002908
40.0656,0.002849
40.0678,0.002162
40.0723,0.004570
40.0770,0.004664
40.0788,0.001857
40.0831,0.004228
40.0890,0.005951
40.0963,0.007288
40.0998,0.003442
40.1067,0.006949
40.1094,0.002711
40.1118,0.002338
40.1139,0.002140
40.1168,0.002868
40.1198,0.003069
40.1233,0.003516
40.1279,0.004548
40.1299,0.001988
40.1342,0.004303
40.1461,0.011938
40.1593,0.013173
40.1679,0.008613
40.1735,0.005553
40.1820,0.008562
40.1929,0.010881
40.2039,0.010976
40.2139,0.009979
40.2241,0.010238
40.2324,0.008305
40.2345,0.002082
40.2389,0.004459
40.2420,0.003085
40.2443,0.002243
40.2463,0.002025
40.2489,0.002567
40.2510,0.002089
40.2576,0.006621
40.2671,0.009532
40.2792,0.012087
40.2812,0.002002
40.2828,0.001637
40.2848,0.001992
40.2899,0.005098
40.2938,0.003915
40.3065,0.012636
40.3163,0.009867
40.3275,0.011193
40.3380,0.010488
40.3403,0.002289
40.3420,0.001689
40.3455,0.003532
40.3487,0.003163
40.3510,0.002350
40.3545,0.003495
40.3588,0.004300
40.3617,0.002837
40.3637,0.002072
40.3653,0.001597
40.3708,0.005486
40.3764,0.005592
40.3784,0.002028
40.3810,0.002514
40.3862,0.005186
40.3923,0.006193
40.3943,0.001937
40.3972,0.002915
40.4014,0.004176
40.4057,0.004357
40.4079,0.002157
40.4119,0.003966
40.4151,0.003233
40.4193,0.004216
40.4224,0.003090
40.4263,0.003881
40.4295,0.003274
40.4321,0.002598
40.4365,0.004340
40.4407,0.004259
40.4430,0.002245
40.4461,0.003077
40.4498,0.003703
40.4556,0.005869
40.4653,0.009694
40.4764,0.011036
40.4860,0.009647
40.4981,0.012062
40.5093,0.011234
40.5114,0.002083
40.5130,0.001654
40.5150,0.001926
40.5165,0.001567
40.5188,0.002297
40.5240,0.005193
40.5270,0.002930
40.5290,0.001991
40.5327,0.003786
40.5392,0.006482
40.5430,0.003822
40.5454,0.002349
40.5487,0.003315
40.5536,0.004865
40.5590,0.005458
40.5608,0.001781
40.5642,0.003364
40.5680,0.003836
40.5734,0.005439
40.5759,0.002444
40.5783,0.002394
40.5820,0.003736
40.5875,0.005436
40.5978,0.010341
40.6018,0.003966
40.6047,0.002980
40.6080,0.003293
40.6101,0.002050
40.6130,0.002863
40.6151,0.002133
40.6169,0.001793
40.6213,0.004389
40.6275,0.006241
40.6297,0.002179
40.6318,0.002091
40.6360,0.004264
40.6427,0.006681
40.6451,0.002334
40.6472,0.002170
40.6504,0.003167
40.6562,0.005853
40.6611,0.004899
40.6630,0.001888
40.6664,0.003411
40.6702,0.003791
40.6731,0.002893
40.6766,0.003494
40.6796,0.002956
40.6836,0.004039
40.6881,0.004435
40.6902,0.002174
40.6941,0.003857
40.6968,0.002738
40.7012,0.004422
40.7056,0.004401
40.7078,0.002194
40.7115,0.003679
40.7143,0.002789
40.7180,0.003683
40.7227,0.004730
40.7252,0.002459
40.7283,0.003134
40.7316,0.003307
40.7362,0.004536
40.7392,0.003011
40.7425,0.003310
40.7456,0.003121
40.7490,0.003393
40.7538,0.004786
40.7566,0.002786
40.7599,0.003293
40.7629,0.003089
40.7661,0.003149
40.7722,0.006118
40.7743,0.002113
40.7770,0.002661
40.7801,0.003073
40.7922,0.012189
40.8045,0.012217
40.8123,0.007806
40.8142,0.001932
40.8160,0.001799
40.8179,0.001875
40.8212,0.003332
40.8250,0.003838
40.8275,0.002487
40.8292,0.001629
40.8329,0.003690
40.8374,0.004509
40.8426,0.005255
40.8444,0.001819
40.8473,0.002859
40.8505,0.003255
40.8602,0.009687
40.8740,0.013792
40.8767,0.002667
40.8786,0.001943
40.8809,0.002248
40.8827,0.001848
40.8861,0.003341
40.8899,0.003837
40.8938,0.003881
40.8963,0.002496
40.8980,0.001709
40.9021,0.004071
40.9094,0.007354
40.9112,0.001793
40.9142,0.002955
40.9177,0.003569
40.9257,0.007921
40.9277,0.002026
40.9306,0.002910
40.9339,0.003342
40.9396,0.005674
40.9415,0.001923
40.9448,0.003239
40.9487,0.003910
40.9546,0.005887
40.9570,0.002450
40.9601,0.003104
40.9631,0.002925
40.9663,0.003290
40.9715,0.005201
40.9736,0.002009
40.9769,0.003356
40.9801,0.003143
40.9836,0.003583
40.9885,0.004833
40.9908,0.002315
40.9941,0.003356
40.9972,0.003074
41.0030,0.005757
41.0073,0.004349
41.0091,0.001797
41.0124,0.003292
41.0155,0.003130
41.0200,0.004416
41.0231,0.003157
41.0260,0.002936
41.0293,0.003220
41.0327,0.003416
41.0375,0.004835
41.0462,0.008706
41.0523,0.006041
41.0598,0.007518
41.0669,0.007149
41.0741,0.007149
41.0803,0.006184
41.0867,0.006449
41.1039,0.017144
41.1071,0.003254
41.1097,0.002540
41.1122,0.002576
41.1149,0.002664
41.1172,0.002304
41.1209,0.003689
41.1245,0.003577
41.1273,0.002813
41.1295,0.002240
41.1313,0.001752
41.1344,0.003152
41.1394,0.004985
41.1414,0.001977
41.1447,0.003301
41.1477,0.003056
41.1524,0.004669
41.1554,0.003040
41.1586,0.003160
41.1620,0.003359
41.1651,0.003143
41.1699,0.004828
41.1731,0.003209
41.1760,0.002817
41.1791,0.003162
41.1824,0.003318
41.1877,0.005213
41.1899,0.002275
41.1932,0.003301
41.1964,0.003172
41.1999,0.003530
41.2064,0.006463
41.2083,0.001904
41.2113,0.003010
41.2144,0.003064
41.2191,0.004688
41.2226,0.003539
41.2253,0.002646
41.2284,0.003166
41.2317,0.003281
41.2362,0.004541
41.2392,0.002994
41.2425,0.003251
41.2457,0.003193
41.2491,0.003472
41.2536,0.004493
41.2564,0.002769
41.2597,0.003308
41.2629,0.003164
41.2660,0.003160
41.2709,0.004854
41.2734,0.002499
41.2766,0.003170
41.2798,0.003196
41.2832,0.003465
41.2876,0.004384
41.2902,0.002591
41.2936,0.003426
41.2970,0.003361
41.3003,0.003290
41.3070,0.006759
41.3089,0.001837
41.3164,0.007534
41.3198,0.003373
41.3228,0.003035
41.3255,0.002652
41.3285,0.003039
41.3319,0.003371
41.3361,0.004225
41.3394,0.003254
41.3432,0.003804
41.3459,0.002779
41.3491,0.003147
41.3540,0.004883
41.3564,0.002421
41.3596,0.003218
41.3629,0.003274
41.3662,0.003339
41.3708,0.004584
41.3735,0.002656
41.3767,0.003275
41.3799,0.003134
41.3832,0.003356
41.3881,0.004892
41.3905,0.002388
41.3938,0.003263
41.3970,0.003215
41.4006,0.003611
41.4071,0.006512
41.4089,0.001820
41.4123,0.003386
41.4153,0.002948
41.4199,0.004633
41.4237,0.003847
41.4263,0.002525
41.4293,0.003028
41.4325,0.003218
41.4377,0.005221
41.4397,0.001961
41.4430,0.003332
41.4462,0.003169
41.4497,0.003534
41.4546,0.004866
41.4568,0.002183
41.4601,0.003326
41.4633,0.003165
41.4665,0.003229
41.4721,0.005572
41.4741,0.002042
41.4773,0.003157
41.4805,0.003253
41.4851,0.004529
41.4888,0.003756
41.4914,0.002632
41.4947,0.003248
41.4978,0.003098
41.5024,0.004603
41.5066,0.004184
41.5087,0.002154
41.5120,0.003295
41.5152,0.003179
41.5199,0.004687
41.5227,0.002803
41.5259,0.003166
41.5291,0.003277
41.5327,0.003581
41.5371,0.004401
41.5397,0.002572
41.5430,0.003341
41.5461,0.003100
41.5494,0.003278
41.5544,0.005029
41.5566,0.002176
41.5597,0.003096
41.5630,0.003333
41.5669,0.003904
41.5722,0.005273
41.5744,0.002184
41.5779,0.003488
41.5813,0.003437
41.5858,0.004439
41.5890,0.003250
41.5922,0.003141
41.5953,0.003177
41.5985,0.003192
41.6041,0.005564
41.6072,0.003139
41.6099,0.002669
41.6131,0.003184
41.6163,0.003192
41.6205,0.004223
41.6233,0.002821
41.6286,0.005320
41.6306,0.001987
41.6336,0.002987
