Time (s),DeltaTime (s)
193.4452,0.010785
193.4509,0.005614
193.4536,0.002710
193.4586,0.005026
193.4618,0.003225
193.4650,0.003142
193.4686,0.003624
193.4715,0.002918
193.4762,0.004687
193.4796,0.003414
193.4818,0.002149
193.4847,0.002951
193.4904,0.005704
193.4941,0.003664
193.4975,0.003487
193.5014,0.003860
193.5062,0.004798
193.5120,0.005810
193.5153,0.003233
193.5183,0.003052
193.5231,0.004765
193.5291,0.006016
193.5329,0.003773
193.5354,0.002527
193.5398,0.004382
193.5453,0.005538
193.5478,0.002479
193.5541,0.006323
193.5665,0.012366
193.5717,0.005199
193.5790,0.007315
193.5840,0.004975
193.5924,0.008445
193.5963,0.003900
193.5999,0.003550
193.6044,0.004501
193.6170,0.012594
193.6265,0.009585
193.6350,0.008442
193.6433,0.008350
193.6541,0.010759
193.6623,0.008255
193.6723,0.009967
193.6807,0.008406
193.6956,0.014934
193.7029,0.007252
193.7113,0.008413
193.7225,0.011175
193.7314,0.008894
193.7424,0.011052
193.7737,0.031256
193.7851,0.011374
193.7943,0.009217
193.8028,0.008521
193.8136,0.010842
193.8204,0.006787
193.8293,0.008837
193.8351,0.005787
193.8459,0.010867
193.8534,0.007482
193.8665,0.013092
193.8797,0.013250
193.9066,0.026868
193.9249,0.018282
193.9386,0.013651
193.9579,0.019367
193.9803,0.022343
193.9994,0.019146
194.0217,0.022298
194.0411,0.019414
194.0622,0.021123
194.0665,0.004244
194.0708,0.004319
194.0776,0.006756
194.0822,0.004601
194.0866,0.004441
194.0938,0.007216
194.0999,0.006088
194.1142,0.014326
194.1241,0.009895
194.1350,0.010845
194.1457,0.010705
194.1572,0.011491
194.1651,0.007925
194.1748,0.009697
194.1876,0.012775
194.2062,0.018646
194.2258,0.019605
194.2328,0.006963
194.2453,0.012560
194.2495,0.004144
194.2668,0.017269
194.2717,0.005000
194.2804,0.008685
194.2848,0.004374
194.2886,0.003773
194.2948,0.006229
194.3017,0.006872
194.3096,0.007894
194.3166,0.006978
194.3237,0.007184
194.3295,0.005795
194.3360,0.006445
194.3430,0.007075
194.3469,0.003887
194.3503,0.003403
194.3535,0.003197
194.3569,0.003378
194.3663,0.009383
194.3806,0.014314
194.3890,0.008364
194.4027,0.013704
194.4116,0.008938
194.4156,0.004005
194.4201,0.004433
194.4265,0.006490
194.4366,0.010050
194.4445,0.007913
194.4550,0.010503
194.4636,0.008612
194.4723,0.008680
194.4776,0.005319
194.4820,0.004344
194.4861,0.004115
194.4904,0.004286
194.4981,0.007687
194.5050,0.006900
194.5130,0.008020
194.5249,0.011921
194.5305,0.005622
194.5372,0.006688
194.5426,0.005443
194.5528,0.010124
194.5629,0.010135
194.5703,0.007366
194.5759,0.005569
194.5842,0.008319
194.5910,0.006792
194.5949,0.003985
194.5997,0.004751
194.6045,0.004808
194.6092,0.004717
194.6190,0.009742
194.6299,0.010908
194.6367,0.006831
194.6531,0.016421
194.6632,0.010062
194.6700,0.006778
194.6806,0.010645
194.6907,0.010123
194.6978,0.007084
194.7053,0.007499
194.7135,0.008179
194.7215,0.007998
194.7296,0.008158
194.7402,0.010575
194.7500,0.009810
194.7562,0.006143
194.7645,0.008329
194.7703,0.005825
194.7809,0.010551
194.7880,0.007081
194.7968,0.008817
194.8024,0.005666
194.8118,0.009345
194.8214,0.009573
194.8299,0.008539
194.8356,0.005721
194.8399,0.004306
194.8471,0.007127
194.8536,0.006508
194.8619,0.008297
194.8667,0.004879
194.8720,0.005218
194.8788,0.006860
194.8858,0.007006
194.8908,0.005001
194.8987,0.007880
194.9043,0.005553
194.9137,0.009436
194.9203,0.006604
194.9280,0.007725
194.9330,0.005004
194.9381,0.005037
194.9453,0.007262
194.9518,0.006506
194.9574,0.005571
194.9653,0.007866
194.9702,0.004932
194.9743,0.004081
194.9820,0.007759
194.9852,0.003141
194.9873,0.002094
194.9952,0.007921
194.9992,0.004022
195.0026,0.003349
195.0066,0.004017
195.0128,0.006264
195.0229,0.010050
195.0315,0.008591
195.0371,0.005652
195.0420,0.004868
195.0511,0.009094
195.0584,0.007333
195.0699,0.011461
195.0779,0.007946
195.0853,0.007409
195.0905,0.005250
195.1000,0.009537
195.1050,0.004991
195.1129,0.007906
195.1196,0.006666
195.1263,0.006739
195.1346,0.008263
195.1406,0.005996
195.1485,0.007855
195.1542,0.005752
195.1597,0.005435
195.1658,0.006185
195.1696,0.003787
195.1744,0.004788
195.1837,0.009244
195.1892,0.005514
195.1976,0.008469
195.2042,0.006524
195.2128,0.008688
195.2183,0.005456
195.2236,0.005264
195.2321,0.008510
195.2365,0.004459
195.2407,0.004137
195.2496,0.008977
195.2546,0.004920
195.2615,0.006947
195.2662,0.004702
195.2701,0.003860
195.2749,0.004840
195.2821,0.007193
195.2882,0.006062
195.2953,0.007115
195.3016,0.006285
195.3065,0.004929
195.3151,0.008591
195.3194,0.004333
195.3247,0.005248
195.3309,0.006255
195.3367,0.005726
195.3461,0.009429
195.3550,0.008941
195.3604,0.005386
195.3641,0.003689
195.3685,0.004421
195.3733,0.004754
195.3808,0.007556
195.3879,0.007077
195.3961,0.008212
195.4026,0.006477
195.4074,0.004818
195.4151,0.007734
195.4198,0.004623
195.4268,0.007033
195.4330,0.006241
195.4374,0.004371
195.4442,0.006797
195.4502,0.005949
195.4539,0.003716
195.4602,0.006287
195.4677,0.007578
195.4742,0.006493
195.4847,0.010459
195.4959,0.011187
195.5035,0.007602
195.5118,0.008331
195.5204,0.008551
195.5293,0.008922
195.5375,0.008230
195.5445,0.007000
195.5507,0.006135
195.5598,0.009100
195.5732,0.013477
195.5889,0.015626
195.5974,0.008504
195.6057,0.008315
195.6142,0.008563
195.6195,0.005273
195.6279,0.008386
195.6474,0.019468
195.6510,0.003682
195.6544,0.003332
195.6585,0.004150
195.6682,0.009706
195.6718,0.003558
195.6760,0.004233
195.6856,0.009597
195.6891,0.003457
195.6942,0.005076
195.7036,0.009479
195.7093,0.005689
195.7164,0.007060
195.7201,0.003719
195.7259,0.005836
195.7363,0.010337
195.7437,0.007423
195.7514,0.007748
195.7571,0.005648
195.7651,0.007996
195.7693,0.004215
195.7744,0.005087
195.7820,0.007630
195.7876,0.005578
195.7937,0.006121
195.8016,0.007911
195.8109,0.009298
195.8160,0.005027
195.8208,0.004810
195.8250,0.004193
195.8331,0.008088
195.8372,0.004192
195.8418,0.004549
195.8481,0.006289
195.8517,0.003631
195.8550,0.003245
195.8609,0.005974
195.8709,0.009998
195.8783,0.007334
195.8848,0.006511
195.8927,0.007876
195.9010,0.008339
195.9061,0.005143
195.9153,0.009189
195.9206,0.005292
195.9261,0.005517
195.9341,0.007930
195.9408,0.006722
195.9493,0.008538
195.9548,0.005501
195.9616,0.006741
195.9682,0.006644
195.9729,0.004676
195.9811,0.008216
195.9855,0.004367
195.9921,0.006664
196.0002,0.008039
196.0075,0.007356
196.0146,0.007117
196.0213,0.006661
196.0274,0.006070
196.0391,0.011734
196.0441,0.004945
196.0499,0.005869
196.0546,0.004700
196.0617,0.007036
196.0668,0.005143
196.0734,0.006620
196.0830,0.009552
196.0909,0.007880
196.1022,0.011386
196.1156,0.013354
196.1230,0.007384
196.1354,0.012447
196.1472,0.011820
196.1558,0.008554
196.1676,0.011800
196.1755,0.007936
196.1859,0.010323
196.1993,0.013489
196.2117,0.012391
196.2215,0.009713
196.2278,0.006369
196.2342,0.006390
196.2444,0.010228
196.2504,0.005995
196.2567,0.006224
