Time (s),DeltaTime (s)
162.2686,0.004201
162.2806,0.011947
162.2890,0.008441
162.2941,0.005080
162.2962,0.002079
162.2991,0.002870
162.3016,0.002585
162.3036,0.001926
162.3057,0.002128
162.3094,0.003759
162.3140,0.004522
162.3161,0.002161
162.3196,0.003432
162.3246,0.004978
162.3304,0.005808
162.3320,0.001685
162.3358,0.003789
162.3402,0.004338
162.3473,0.007172
162.3494,0.002017
162.3530,0.003599
162.3580,0.005019
162.3610,0.003025
162.3647,0.003682
162.3685,0.003857
162.3721,0.003546
162.3772,0.005154
162.3808,0.003559
162.3846,0.003758
162.3881,0.003574
162.3933,0.005163
162.3959,0.002623
162.3998,0.003896
162.4036,0.003795
162.4082,0.004580
162.4113,0.003074
162.4155,0.004258
162.4191,0.003525
162.4222,0.003170
162.4274,0.005203
162.4306,0.003226
162.4344,0.003778
162.4388,0.004387
162.4435,0.004698
162.4465,0.002972
162.4514,0.004931
162.4548,0.003390
162.4599,0.005125
162.4627,0.002765
162.4661,0.003405
162.4706,0.004535
162.4751,0.004418
162.4779,0.002887
162.4816,0.003686
162.4855,0.003830
162.4894,0.003957
162.4940,0.004563
162.4979,0.003917
162.5013,0.003433
162.5051,0.003738
162.5114,0.006326
162.5131,0.001756
162.5165,0.003370
162.5202,0.003713
162.5252,0.005008
162.5284,0.003143
162.5320,0.003580
162.5359,0.003962
162.5399,0.003988
162.5439,0.004012
162.5483,0.004347
162.5517,0.003378
162.5553,0.003689
162.5617,0.006383
162.5635,0.001773
162.5667,0.003235
162.5705,0.003750
162.5756,0.005129
162.5782,0.002636
162.5820,0.003749
162.5858,0.003764
162.5904,0.004611
162.5940,0.003641
162.5977,0.003748
162.6012,0.003451
162.6049,0.003707
162.6100,0.005126
162.6127,0.002642
162.6162,0.003545
162.6201,0.003838
162.6245,0.004401
162.6277,0.003231
162.6316,0.003934
162.6353,0.003699
162.6389,0.003622
162.6441,0.005135
162.6472,0.003133
162.6516,0.004326
162.6553,0.003771
162.6609,0.005630
162.6629,0.001995
162.6670,0.004075
162.6703,0.003271
162.6750,0.004684
162.6784,0.003387
162.6819,0.003592
162.6854,0.003490
162.6903,0.004888
162.6938,0.003521
162.6979,0.004021
162.7014,0.003571
162.7047,0.003295
162.7097,0.004983
162.7132,0.003477
162.7163,0.003148
162.7200,0.003712
162.7248,0.004768
162.7281,0.003232
162.7316,0.003546
162.7355,0.003920
162.7389,0.003348
162.7439,0.005014
162.7475,0.003662
162.7516,0.004113
162.7552,0.003535
162.7611,0.005936
162.7632,0.002060
162.7667,0.003513
162.7704,0.003673
162.7757,0.005344
162.7785,0.002760
162.7821,0.003611
162.7859,0.003765
162.7906,0.004701
162.7944,0.003849
162.7980,0.003599
162.8014,0.003429
162.8052,0.003732
162.8111,0.005981
162.8130,0.001834
162.8165,0.003510
162.8202,0.003686
162.8251,0.004932
162.8280,0.002889
162.8316,0.003618
162.8354,0.003837
162.8404,0.004988
162.8439,0.003412
162.8474,0.003591
162.8519,0.004436
162.8549,0.003076
162.8603,0.005353
162.8626,0.002319
162.8661,0.003524
162.8703,0.004124
162.8746,0.004337
162.8778,0.003167
162.8817,0.003903
162.8852,0.003493
162.8893,0.004176
162.8943,0.004913
162.8970,0.002695
162.9007,0.003737
162.9044,0.003746
162.9090,0.004571
162.9121,0.003066
162.9159,0.003813
162.9194,0.003495
162.9241,0.004676
162.9276,0.003578
162.9311,0.003470
162.9347,0.003605
162.9386,0.003881
162.9438,0.005201
162.9462,0.002428
162.9505,0.004262
162.9540,0.003474
162.9586,0.004693
162.9619,0.003236
162.9654,0.003500
162.9690,0.003596
162.9741,0.005099
162.9772,0.003114
162.9847,0.007489
162.9882,0.003541
162.9920,0.003764
162.9990,0.007019
163.0013,0.002321
163.0035,0.002137
163.0082,0.004730
163.0119,0.003707
163.0153,0.003364
163.0188,0.003573
163.0239,0.005063
163.0273,0.003401
163.0309,0.003552
163.0347,0.003850
163.0381,0.003398
163.0435,0.005344
163.0462,0.002746
163.0499,0.003644
163.0538,0.003966
163.0592,0.005424
163.0618,0.002528
163.0652,0.003463
163.0691,0.003897
163.0740,0.004896
163.0772,0.003188
163.0812,0.003991
163.0845,0.003332
163.0882,0.003680
163.0943,0.006129
163.0961,0.001713
163.0996,0.003515
163.1033,0.003787
163.1082,0.004812
163.1112,0.003020
163.1148,0.003597
163.1189,0.004081
163.1223,0.003474
163.1271,0.004803
163.1308,0.003681
163.1344,0.003533
163.1380,0.003663
163.1432,0.005139
163.1458,0.002621
163.1496,0.003802
163.1541,0.004534
163.1588,0.004654
163.1617,0.002921
163.1655,0.003849
163.1690,0.003459
163.1735,0.004509
163.1774,0.003942
163.1810,0.003568
163.1847,0.003684
163.1886,0.003921
163.1941,0.005475
163.1964,0.002320
163.2004,0.003963
163.2037,0.003342
163.2085,0.004794
163.2120,0.003498
163.2157,0.003646
163.2192,0.003586
163.2242,0.004953
163.2276,0.003435
163.2316,0.003938
163.2405,0.008929
163.2475,0.006995
163.2551,0.007584
163.2641,0.009011
163.2711,0.006980
163.2915,0.020470
163.2948,0.003214
163.2970,0.002258
163.2992,0.002233
163.3011,0.001812
163.3027,0.001620
163.3043,0.001603
163.3082,0.003923
163.3112,0.003040
163.3148,0.003568
163.3187,0.003886
163.3223,0.003567
163.3272,0.004923
163.3309,0.003722
163.3343,0.003385
163.3380,0.003725
163.3434,0.005406
163.3460,0.002573
163.3494,0.003429
163.3542,0.004725
163.3583,0.004111
163.3614,0.003110
163.3652,0.003820
163.3686,0.003389
163.3725,0.003964
163.3774,0.004869
163.3808,0.003341
163.3843,0.003588
163.3895,0.005168
163.3932,0.003665
163.3960,0.002851
163.4005,0.004487
163.4039,0.003432
163.4080,0.004029
