Time (s),DeltaTime (s)
159.1882,0.003417
159.1913,0.003142
159.1947,0.003323
159.1982,0.003558
159.2026,0.004351
159.2054,0.002839
159.2091,0.003725
159.2125,0.003337
159.2158,0.003288
159.2207,0.004977
159.2232,0.002480
159.2268,0.003595
159.2299,0.003101
159.2346,0.004729
159.2380,0.003347
159.2413,0.003356
159.2447,0.003364
159.2478,0.003088
159.2522,0.004386
159.2553,0.003139
159.2586,0.003282
159.2619,0.003264
159.2657,0.003862
159.2702,0.004518
159.2730,0.002725
159.2763,0.003320
159.2795,0.003172
159.2828,0.003367
159.2887,0.005863
159.2905,0.001828
159.2936,0.003082
159.2971,0.003471
159.3017,0.004638
159.3048,0.003104
159.3081,0.003295
159.3116,0.003492
159.3148,0.003209
159.3206,0.005821
159.3228,0.002168
159.3259,0.003049
159.3290,0.003183
159.3325,0.003489
159.3377,0.005138
159.3401,0.002468
159.3434,0.003226
159.3469,0.003519
159.3518,0.004916
159.3546,0.002802
159.3578,0.003250
159.3614,0.003512
159.3648,0.003463
159.3703,0.005462
159.3727,0.002374
159.3761,0.003492
159.3792,0.003074
159.3827,0.003493
159.3885,0.005754
159.3902,0.001718
159.3933,0.003121
159.3966,0.003302
159.4015,0.004841
159.4046,0.003106
159.4078,0.003214
159.4113,0.003549
159.4146,0.003263
159.4192,0.004609
159.4222,0.002986
159.4253,0.003140
159.4288,0.003480
159.4320,0.003208
159.4373,0.005257
159.4395,0.002236
159.4428,0.003320
159.4461,0.003236
159.4496,0.003585
159.4553,0.005693
159.4575,0.002172
159.4610,0.003444
159.4641,0.003105
159.4695,0.005465
159.4726,0.003076
159.4756,0.003025
159.4787,0.003057
159.4819,0.003230
159.4873,0.005367
159.4896,0.002304
159.4928,0.003213
159.4961,0.003306
159.5003,0.004218
159.5050,0.004724
159.5070,0.001971
159.5104,0.003375
159.5138,0.003378
159.5182,0.004467
159.5221,0.003863
159.5254,0.003332
159.5289,0.003422
159.5321,0.003242
159.5371,0.005055
159.5396,0.002433
159.5429,0.003325
159.5461,0.003207
159.5493,0.003234
159.5551,0.005757
159.5569,0.001791
159.5601,0.003161
159.5633,0.003226
159.5685,0.005191
159.5720,0.003498
159.5749,0.002904
159.5782,0.003362
159.5815,0.003255
159.5888,0.007294
159.5910,0.002211
159.5934,0.002379
159.5975,0.004117
159.6020,0.004497
159.6050,0.003005
159.6078,0.002789
159.6111,0.003309
159.6147,0.003552
159.6190,0.004380
159.6220,0.002949
159.6254,0.003424
159.6333,0.007870
159.6372,0.003910
159.6398,0.002673
159.6428,0.002973
159.6463,0.003432
159.6498,0.003534
159.6547,0.004871
159.6570,0.002308
159.6603,0.003376
159.6635,0.003176
159.6688,0.005271
159.6720,0.003185
159.6751,0.003112
159.6785,0.003359
159.6817,0.003255
159.6869,0.005175
159.6891,0.002271
159.6926,0.003445
159.6959,0.003323
159.6994,0.003510
159.7038,0.004347
159.7068,0.003057
159.7102,0.003365
159.7133,0.003146
159.7181,0.004718
159.7214,0.003357
159.7248,0.003397
159.7280,0.003217
159.7312,0.003184
159.7364,0.005158
159.7390,0.002640
159.7421,0.003117
159.7454,0.003263
159.7488,0.003448
159.7540,0.005149
159.7565,0.002557
159.7598,0.003240
159.7629,0.003117
159.7668,0.003881
159.7725,0.005736
159.7744,0.001849
159.7776,0.003192
159.7807,0.003174
159.7861,0.005393
159.7885,0.002387
159.7918,0.003241
159.7951,0.003344
159.7989,0.003764
159.8033,0.004463
159.8060,0.002724
159.8095,0.003428
159.8127,0.003198
159.8161,0.003454
159.8220,0.005854
159.8237,0.001749
159.8268,0.003081
159.8301,0.003242
159.8351,0.005048
159.8380,0.002862
159.8414,0.003416
159.8447,0.003267
159.8483,0.003687
159.8527,0.004373
159.8555,0.002766
159.8590,0.003491
159.8624,0.003402
159.8670,0.004616
159.8731,0.006092
159.8753,0.002219
159.8789,0.003620
159.8846,0.005716
159.8956,0.010922
159.9067,0.011160
159.9166,0.009888
159.9256,0.008989
159.9334,0.007807
159.9408,0.007388
159.9457,0.004899
159.9486,0.002869
159.9523,0.003760
159.9559,0.003614
159.9585,0.002610
159.9606,0.002108
159.9632,0.002532
159.9661,0.002946
159.9735,0.007352
159.9810,0.007497
159.9896,0.008644
159.9951,0.005443
159.9986,0.003586
160.0029,0.004236
160.0078,0.004957
160.0126,0.004711
160.0209,0.008386
160.0249,0.003924
160.0293,0.004425
160.0342,0.004876
160.0414,0.007260
160.0457,0.004260
160.0484,0.002677
160.0524,0.004074
160.0565,0.004054
160.0594,0.002940
160.0621,0.002640
160.0653,0.003260
160.0704,0.005034
160.0743,0.003951
160.0778,0.003484
160.0816,0.003834
160.0855,0.003833
160.0905,0.005046
160.0946,0.004046
160.0979,0.003319
160.1003,0.002454
160.1056,0.005305
160.1077,0.002058
160.1111,0.003371
160.1148,0.003700
160.1216,0.006791
160.1252,0.003598
160.1281,0.002970
160.1304,0.002256
160.1358,0.005405
160.1391,0.003333
160.1422,0.003096
160.1463,0.004094
160.1500,0.003653
160.1565,0.006563
160.1587,0.002135
160.1616,0.002969
160.1652,0.003593
160.1712,0.005995
160.1735,0.002319
160.1776,0.004069
160.1809,0.003337
160.1862,0.005229
160.1895,0.003366
160.1939,0.004390
160.1968,0.002850
160.2017,0.004941
160.2066,0.004887
160.2086,0.001997
160.2116,0.002972
160.2154,0.003839
160.2216,0.006176
160.2238,0.002228
160.2270,0.003190
160.2305,0.003520
160.2363,0.005813
160.2395,0.003120
160.2428,0.003380
160.2468,0.003943
160.2508,0.003989
160.2563,0.005524
160.2589,0.002595
160.2619,0.003066
160.2658,0.003889
160.2727,0.006816
160.2838,0.011125
160.2929,0.009083
160.3019,0.009000
160.3107,0.008859
160.3187,0.007999
160.3392,0.020498
160.3422,0.002971
160.3443,0.002109
160.3479,0.003633
160.3528,0.004841
160.3576,0.004790
160.3703,0.012766
160.3728,0.002484
160.3754,0.002609
160.3781,0.002684
160.3801,0.002013
160.3828,0.002645
160.3861,0.003292
160.3925,0.006400
160.3974,0.004959
160.4008,0.003393
160.4066,0.005773
160.4122,0.005604
160.4158,0.003632
160.4253,0.009520
160.4297,0.004369
160.4339,0.004155
160.4390,0.005105
160.4448,0.005795
160.4538,0.009001
160.4591,0.005345
160.4620,0.002911
160.4653,0.003319
160.4678,0.002488
160.4718,0.004008
160.4739,0.002070
160.4767,0.002780
160.4787,0.001972
160.4813,0.002653
160.4880,0.006681
160.4902,0.002239
160.4931,0.002863
160.4969,0.003763
160.5021,0.005232
160.5052,0.003101
160.5083,0.003087
160.5120,0.003715
