Time (s),DeltaTime (s)
82.6694,0.004542
82.6804,0.011022
82.6887,0.008293
82.6915,0.002766
82.6953,0.003846
82.6988,0.003538
82.7010,0.002129
82.7030,0.001986
82.7047,0.001735
82.7065,0.001782
82.7119,0.005470
82.7182,0.006238
82.7199,0.001747
82.7231,0.003149
82.7278,0.004756
82.7343,0.006454
82.7366,0.002289
82.7397,0.003138
82.7454,0.005646
82.7507,0.005323
82.7525,0.001818
82.7560,0.003531
82.7607,0.004632
82.7647,0.003990
82.7687,0.003995
82.7720,0.003389
82.7759,0.003876
82.7809,0.005001
82.7842,0.003255
82.7878,0.003604
82.7917,0.003924
82.7967,0.004974
82.7994,0.002699
82.8032,0.003842
82.8067,0.003469
82.8116,0.004953
82.8151,0.003418
82.8272,0.012114
82.8304,0.003189
82.8327,0.002370
82.8345,0.001748
82.8384,0.003892
82.8403,0.001953
82.8436,0.003310
82.8513,0.007620
82.8530,0.001790
82.8559,0.002827
82.8610,0.005086
82.8670,0.006073
82.8687,0.001655
82.8736,0.004895
82.8784,0.004786
82.8834,0.005051
82.8853,0.001883
82.8890,0.003666
82.8942,0.005245
82.8973,0.003132
82.9013,0.003932
82.9047,0.003447
82.9084,0.003711
82.9143,0.005829
82.9163,0.002054
82.9199,0.003623
82.9243,0.004338
82.9289,0.004639
82.9317,0.002744
82.9364,0.004752
82.9477,0.011291
82.9546,0.006935
82.9623,0.007662
82.9690,0.006749
82.9743,0.005302
82.9788,0.004479
82.9844,0.005614
82.9879,0.003431
82.9908,0.002962
82.9955,0.004686
82.9985,0.002971
83.0013,0.002821
83.0034,0.002051
83.0059,0.002508
83.0076,0.001779
83.0120,0.004316
83.0153,0.003291
83.0191,0.003837
83.0230,0.003895
83.0283,0.005357
83.0320,0.003655
83.0362,0.004238
83.0462,0.009942
83.0488,0.002653
83.0507,0.001821
83.0536,0.002906
83.0573,0.003695
83.0627,0.005477
83.0654,0.002667
83.0698,0.004374
83.0734,0.003630
83.0779,0.004465
83.0812,0.003347
83.0846,0.003341
83.0882,0.003603
83.0928,0.004686
83.0974,0.004530
83.1000,0.002602
83.1039,0.003905
83.1077,0.003826
83.1126,0.004859
83.1153,0.002747
83.1186,0.003316
83.1228,0.004136
83.1275,0.004730
83.1306,0.003112
83.1343,0.003672
83.1382,0.003914
83.1430,0.004848
83.1472,0.004123
83.1504,0.003191
83.1542,0.003868
83.1576,0.003351
83.1631,0.005479
83.1653,0.002274
83.1692,0.003825
83.1733,0.004179
83.1775,0.004180
83.1808,0.003267
83.1851,0.004284
83.1883,0.003257
83.1920,0.003652
83.1976,0.005676
83.2001,0.002412
83.2036,0.003553
83.2074,0.003779
83.2124,0.005001
83.2153,0.002872
83.2188,0.003512
83.2223,0.003543
83.2268,0.004432
83.2308,0.004076
83.2344,0.003531
83.2380,0.003609
83.2426,0.004634
83.2479,0.005324
83.2497,0.001800
83.2536,0.003901
83.2571,0.003423
83.2620,0.004987
83.2653,0.003224
83.2686,0.003355
83.2723,0.003666
83.2778,0.005487
83.2807,0.002929
83.2844,0.003664
83.2881,0.003748
83.2919,0.003752
83.2974,0.005487
83.2999,0.002582
83.3033,0.003384
