Time (s),DeltaTime (s)
71.0668,0.005870
71.0802,0.013405
71.0879,0.007669
71.0904,0.002502
71.0929,0.002490
71.0999,0.007003
71.1035,0.003644
71.1060,0.002474
71.1116,0.005589
71.1157,0.004142
71.1181,0.002398
71.1205,0.002354
71.1284,0.007918
71.1326,0.004215
71.1348,0.002249
71.1388,0.003922
71.1464,0.007641
71.1481,0.001709
71.1515,0.003423
71.1556,0.004034
71.1602,0.004607
71.1640,0.003794
71.1674,0.003431
71.1710,0.003597
71.1777,0.006652
71.1794,0.001753
71.1826,0.003183
71.1862,0.003580
71.1915,0.005369
71.1942,0.002655
71.1978,0.003551
71.2015,0.003785
71.2075,0.006003
71.2180,0.010475
71.2216,0.003631
71.2259,0.004208
71.2373,0.011455
71.2508,0.013468
71.2611,0.010275
71.2711,0.010040
71.2837,0.012590
71.2862,0.002478
71.2878,0.001612
71.2917,0.003912
71.3042,0.012485
71.3162,0.011986
71.3271,0.010913
71.3357,0.008640
71.3379,0.002218
71.3425,0.004532
71.3530,0.010542
71.3551,0.002133
71.3615,0.006415
71.3715,0.010002
71.3835,0.011956
71.3946,0.011125
71.4040,0.009364
71.4152,0.011166
71.4173,0.002168
71.4195,0.002156
71.4217,0.002219
71.4245,0.002839
71.4294,0.004815
71.4320,0.002597
71.4340,0.002008
71.4379,0.003902
71.4523,0.014464
71.4647,0.012416
71.4761,0.011337
71.4788,0.002704
71.4805,0.001723
71.4831,0.002550
71.4857,0.002683
71.4873,0.001594
71.4897,0.002318
71.4950,0.005366
71.4990,0.003987
71.5007,0.001745
71.5041,0.003320
71.5103,0.006276
71.5145,0.004201
71.5163,0.001755
71.5201,0.003760
71.5258,0.005739
71.5307,0.004893
71.5324,0.001725
71.5364,0.003989
71.5410,0.004634
71.5441,0.003084
71.5478,0.003714
71.5517,0.003858
71.5559,0.004218
71.5600,0.004073
71.5639,0.003940
71.5674,0.003428
71.5710,0.003629
71.5771,0.006165
71.5791,0.001944
71.5826,0.003505
71.5862,0.003613
71.5910,0.004787
71.5940,0.003018
71.5981,0.004124
71.6020,0.003863
71.6051,0.003099
71.6102,0.005115
71.6138,0.003575
71.6171,0.003347
71.6208,0.003631
71.6266,0.005828
71.6288,0.002249
71.6324,0.003511
71.6367,0.004345
71.6419,0.005219
71.6447,0.002812
71.6484,0.003663
71.6520,0.003602
71.6575,0.005550
71.6611,0.003549
71.6646,0.003526
71.6685,0.003874
71.6731,0.004615
71.6776,0.004477
71.6803,0.002706
71.6846,0.004284
71.6878,0.003176
71.6925,0.004754
71.6962,0.003722
71.6992,0.002974
71.7035,0.004280
71.7086,0.005122
71.7191,0.010510
71.7354,0.016248
71.7484,0.013062
71.7510,0.002584
71.7526,0.001621
71.7546,0.001936
71.7570,0.002456
71.7622,0.005188
71.7653,0.003080
71.7673,0.001964
71.7693,0.002004
71.7750,0.005706
71.7798,0.004825
71.7817,0.001941
71.7856,0.003846
71.7915,0.005934
71.7966,0.005114
71.7984,0.001735
71.8017,0.003369
71.8060,0.004306
71.8103,0.004254
71.8146,0.004355
71.8176,0.002993
71.8216,0.003952
71.8271,0.005561
71.8302,0.003019
71.8335,0.003345
71.8375,0.004011
71.8427,0.005163
71.8464,0.003709
71.8490,0.002599
71.8527,0.003672
71.8581,0.005436
71.8613,0.003200
71.8658,0.004470
71.8683,0.002549
71.8718,0.003475
71.8771,0.005311
71.8809,0.003830
71.8841,0.003129
71.8877,0.003625
71.8977,0.010007
71.9032,0.005469
71.9118,0.008680
71.9208,0.008914
71.9289,0.008155
71.9359,0.006974
71.9535,0.017574
71.9563,0.002848
71.9598,0.003448
71.9622,0.002449
71.9651,0.002858
71.9671,0.002031
71.9695,0.002449
71.9716,0.002029
71.9767,0.005134
71.9789,0.002194
71.9825,0.003596
71.9866,0.004108
71.9935,0.006863
72.0043,0.010813
72.0145,0.010187
72.0166,0.002119
72.0182,0.001631
72.0207,0.002429
72.0241,0.003437
72.0283,0.004170
72.0305,0.002228
72.0323,0.001794
72.0359,0.003602
72.0419,0.005984
72.0467,0.004820
72.0490,0.002322
72.0525,0.003505
72.0576,0.005133
72.0636,0.005923
72.0656,0.001996
72.0685,0.002955
72.0761,0.007542
72.0870,0.010909
72.0911,0.004172
72.0939,0.002763
72.0974,0.003480
72.0998,0.002459
72.1018,0.001924
72.1036,0.001842
72.1061,0.002474
72.1141,0.008022
72.1162,0.002128
72.1187,0.002496
72.1237,0.004958
72.1300,0.006337
72.1317,0.001722
72.1353,0.003563
72.1413,0.006034
72.1470,0.005670
72.1499,0.002906
72.1530,0.003029
72.1569,0.004000
72.1602,0.003268
72.1647,0.004532
72.1682,0.003453
72.1716,0.003352
72.1783,0.006694
72.1802,0.001954
