Time (s),DeltaTime (s)
116.3340,0.005236
116.3453,0.011284
116.3536,0.008274
116.3585,0.004893
116.3606,0.002110
116.3639,0.003323
116.3670,0.003121
116.3696,0.002590
116.3730,0.003425
116.3772,0.004115
116.3800,0.002815
116.3818,0.001786
116.3846,0.002830
116.3898,0.005227
116.3956,0.005797
116.3973,0.001719
116.4006,0.003291
116.4061,0.005497
116.4112,0.005114
116.4132,0.001972
116.4169,0.003663
116.4214,0.004571
116.4252,0.003789
116.4291,0.003876
116.4410,0.011882
116.4439,0.002921
116.4461,0.002213
116.4483,0.002208
116.4516,0.003289
116.4539,0.002284
116.4603,0.006439
116.4647,0.004381
116.4664,0.001675
116.4696,0.003169
116.4783,0.008757
116.4803,0.001988
116.4839,0.003612
116.4910,0.007120
116.4959,0.004845
116.4977,0.001791
116.5015,0.003803
116.5060,0.004545
116.5090,0.002945
116.5130,0.003994
116.5162,0.003267
116.5200,0.003788
116.5266,0.006553
116.5295,0.002881
116.5340,0.004492
116.5402,0.006208
116.5427,0.002560
116.5447,0.002012
116.5482,0.003499
116.5522,0.003983
116.5587,0.006441
116.5606,0.001937
116.5644,0.003811
116.5683,0.003904
116.5737,0.005437
116.5765,0.002797
116.5800,0.003475
116.5844,0.004338
116.5888,0.004476
116.5920,0.003217
116.5956,0.003605
116.5996,0.003993
116.6032,0.003552
116.6084,0.005198
116.6114,0.003024
116.6149,0.003519
116.6188,0.003824
116.6242,0.005410
116.6263,0.002146
116.6299,0.003588
116.6336,0.003685
116.6384,0.004851
116.6417,0.003229
116.6453,0.003634
116.6491,0.003753
116.6527,0.003682
116.6597,0.006964
116.6617,0.001952
116.6649,0.003220
116.6684,0.003571
116.6739,0.005432
116.6761,0.002247
116.6799,0.003733
116.6839,0.004000
116.6883,0.004459
116.6918,0.003446
116.6956,0.003854
116.6991,0.003465
116.7029,0.003772
116.7091,0.006224
116.7109,0.001838
116.7143,0.003402
116.7179,0.003618
116.7234,0.005447
116.7261,0.002739
116.7295,0.003366
116.7336,0.004089
116.7381,0.004561
116.7419,0.003753
116.7454,0.003502
116.7489,0.003541
116.7528,0.003849
116.7599,0.007099
116.7616,0.001740
116.7650,0.003400
116.7686,0.003567
116.7752,0.006658
116.7771,0.001820
116.7802,0.003168
116.7839,0.003692
116.7889,0.004994
116.7920,0.003039
116.7956,0.003595
116.7993,0.003761
116.8038,0.004456
116.8081,0.004279
116.8112,0.003162
116.8146,0.003422
116.8185,0.003868
116.8236,0.005145
116.8260,0.002346
116.8295,0.003519
116.8335,0.003939
116.8380,0.004551
116.8416,0.003563
116.8454,0.003784
116.8489,0.003528
116.8527,0.003802
116.8597,0.006973
116.8615,0.001808
116.8650,0.003547
116.8686,0.003542
116.8740,0.005454
116.8763,0.002246
116.8798,0.003578
116.8839,0.004117
116.8884,0.004407
116.8917,0.003374
116.8957,0.003968
116.8991,0.003427
116.9030,0.003842
116.9082,0.005246
116.9112,0.002945
116.9147,0.003554
116.9185,0.003768
116.9236,0.005155
116.9263,0.002644
116.9301,0.003809
116.9336,0.003559
116.9383,0.004632
116.9421,0.003789
116.9456,0.003569
116.9491,0.003497
116.9532,0.004031
116.9597,0.006508
116.9617,0.002066
116.9653,0.003519
116.9686,0.003354
116.9740,0.005388
116.9769,0.002926
116.9802,0.003287
116.9839,0.003739
116.9887,0.004772
116.9922,0.003471
116.9956,0.003405
116.9993,0.003727
117.0030,0.003664
117.0089,0.005877
117.0122,0.003294
117.0153,0.003164
117.0190,0.003635
117.0249,0.005932
117.0270,0.002149
117.0305,0.003510
117.0344,0.003811
117.0395,0.005148
117.0425,0.002983
117.0459,0.003401
117.0498,0.003916
117.0538,0.003982
117.0590,0.005245
117.0627,0.003649
117.0659,0.003239
117.0695,0.003556
117.0756,0.006072
117.0843,0.008703
117.0939,0.009667
117.1023,0.008411
117.1209,0.018524
117.1242,0.003319
117.1262,0.001998
117.1284,0.002263
117.1302,0.001758
117.1325,0.002339
117.1346,0.002056
117.1363,0.001699
117.1414,0.005133
117.1448,0.003333
117.1482,0.003441
117.1519,0.003716
117.1575,0.005631
117.1606,0.003104
117.1639,0.003237
117.1682,0.004281
117.1726,0.004450
117.1756,0.003023
117.1795,0.003836
117.1832,0.003722
117.1883,0.005143
117.1917,0.003347
117.1952,0.003503
117.1988,0.003638
117.2028,0.003989
117.2083,0.005443
117.2108,0.002506
117.2144,0.003634
117.2178,0.003424
117.2227,0.004833
117.2260,0.003342
117.2293,0.003320
117.2330,0.003675
117.2380,0.005046
117.2416,0.003537
117.2452,0.003617
117.2490,0.003808
117.2525,0.003548
117.2582,0.005667
117.2615,0.003270
117.2643,0.002769
117.2677,0.003448
117.2732,0.005487
117.2760,0.002847
117.2794,0.003406
117.2834,0.003935
117.2885,0.005080
117.2918,0.003356
117.2955,0.003670
117.2990,0.003477
117.3028,0.003819
117.3084,0.005594
117.3106,0.002217
117.3141,0.003504
117.3179,0.003795
117.3237,0.005846
117.3258,0.002092
117.3294,0.003558
117.3331,0.003704
117.3386,0.005499
117.3415,0.002889
117.3453,0.003796
117.3490,0.003770
117.3528,0.003713
117.3580,0.005206
117.3621,0.004111
117.3647,0.002663
117.3686,0.003888
117.3740,0.005381
117.3763,0.002297
117.3798,0.003502
117.3840,0.004170
117.3884,0.004411
117.3918,0.003401
117.3955,0.003755
117.3992,0.003673
117.4030,0.003805
117.4081,0.005092
117.4113,0.003187
117.4152,0.003872
117.4189,0.003727
117.4241,0.005202
117.4271,0.002971
117.4313,0.004259
117.4345,0.003146
117.4390,0.004548
117.4425,0.003446
117.4459,0.003433
117.4494,0.003543
117.4545,0.005036
117.4579,0.003413
117.4631,0.005163
117.4661,0.003045
117.4694,0.003300
117.4749,0.005528
117.4779,0.002955
117.4813,0.003387
117.4849,0.003648
117.4911,0.006182
117.4936,0.002467
117.4968,0.003249
117.5008,0.004001
117.5053,0.004487
117.5085,0.003232
117.5125,0.003936
117.5159,0.003390
117.5196,0.003701
117.5256,0.006057
117.5280,0.002381
117.5316,0.003576
117.5351,0.003530
117.5415,0.006339
117.5433,0.001891
117.5467,0.003312
117.5502,0.003578
117.5553,0.005113
117.5583,0.002999
117.5631,0.004795
117.5661,0.002969
117.5697,0.003549
117.5749,0.005213
117.5778,0.002966
117.5812,0.003410
117.5858,0.004574
117.5919,0.006080
117.5937,0.001819
117.5973,0.003549
117.6009,0.003660
117.6058,0.004901
117.6087,0.002904
117.6124,0.003662
117.6164,0.003979
117.6205,0.004129
