Time (s),DeltaTime (s)
211.1285,0.004424
211.1407,0.012213
211.1533,0.012577
211.1560,0.002635
211.1577,0.001721
211.1596,0.001936
211.1613,0.001726
211.1635,0.002112
211.1663,0.002811
211.1730,0.006777
211.1751,0.002063
211.1783,0.003217
211.1847,0.006370
211.1897,0.005040
211.1915,0.001735
211.1947,0.003253
211.2003,0.005628
211.2057,0.005312
211.2084,0.002738
211.2117,0.003254
211.2160,0.004371
211.2193,0.003260
211.2232,0.003871
211.2275,0.004328
211.2419,0.014397
211.2448,0.002909
211.2475,0.002701
211.2498,0.002304
211.2526,0.002817
211.2547,0.002059
211.2570,0.002383
211.2608,0.003726
211.2658,0.005034
211.2727,0.006909
211.2745,0.001775
211.2778,0.003321
211.2828,0.005022
211.2892,0.006368
211.2909,0.001719
211.2944,0.003516
211.2997,0.005257
211.3049,0.005241
211.3075,0.002572
211.3113,0.003814
211.3158,0.004517
211.3193,0.003462
211.3231,0.003769
211.3265,0.003411
211.3318,0.005271
211.3371,0.005309
211.3389,0.001792
211.3420,0.003143
211.3456,0.003571
211.3518,0.006195
211.3540,0.002188
211.3574,0.003461
211.3611,0.003629
211.3663,0.005210
211.3692,0.002957
211.3729,0.003645
211.3766,0.003792
211.3806,0.003995
211.3857,0.005020
211.3885,0.002805
211.3917,0.003269
211.3956,0.003816
211.4005,0.004929
211.4033,0.002835
211.4071,0.003765
211.4119,0.004790
211.4162,0.004331
211.4194,0.003205
211.4233,0.003849
211.4266,0.003380
211.4304,0.003730
211.4367,0.006289
211.4393,0.002610
211.4430,0.003716
211.4541,0.011106
211.4605,0.006410
211.4675,0.007014
211.4749,0.007399
211.4818,0.006830
211.4967,0.014960
211.5000,0.003322
211.5027,0.002651
211.5049,0.002213
211.5070,0.002079
211.5094,0.002431
211.5113,0.001921
211.5134,0.002108
211.5190,0.005584
211.5215,0.002518
211.5251,0.003541
211.5289,0.003870
211.5349,0.005935
211.5378,0.002913
211.5408,0.002992
211.5441,0.003326
211.5486,0.004532
211.5530,0.004345
211.5562,0.003232
211.5598,0.003626
211.5638,0.003937
211.5692,0.005437
211.5715,0.002317
211.5752,0.003693
211.5787,0.003461
211.5836,0.004872
211.5868,0.003245
211.5904,0.003566
211.5940,0.003638
211.5993,0.005275
211.6023,0.003061
211.6060,0.003612
211.6109,0.004939
211.6137,0.002778
211.6196,0.005943
211.6216,0.002023
211.6249,0.003240
211.6288,0.003883
211.6335,0.004697
211.6363,0.002849
211.6400,0.003742
211.6440,0.003987
211.6479,0.003836
211.6525,0.004601
211.6559,0.003473
211.6598,0.003832
211.6632,0.003395
211.6684,0.005239
211.6711,0.002680
211.6746,0.003542
211.6786,0.003939
211.6830,0.004464
211.6864,0.003322
211.6901,0.003766
211.6936,0.003430
211.6972,0.003676
211.7024,0.005154
211.7054,0.003031
211.7099,0.004434
211.7137,0.003805
211.7181,0.004423
211.7212,0.003109
211.7250,0.003835
211.7285,0.003495
211.7332,0.004667
211.7365,0.003278
211.7404,0.003912
211.7439,0.003561
211.7490,0.005044
211.7522,0.003201
211.7558,0.003658
211.7598,0.003988
211.7632,0.003359
211.7684,0.005246
211.7719,0.003455
211.7751,0.003175
211.7787,0.003664
211.7838,0.005089
211.7867,0.002831
211.7903,0.003632
211.7941,0.003821
211.7983,0.004222
211.8024,0.004042
211.8061,0.003714
211.8097,0.003587
