Time (s),DeltaTime (s)
63.1184,0.000257
63.1246,0.006199
63.1281,0.003494
63.1464,0.018288
63.1517,0.005252
63.1682,0.016508
63.1708,0.002587
63.1949,0.024121
63.2167,0.021842
63.2359,0.019147
63.2568,0.020927
63.2774,0.020626
63.2975,0.020053
63.3174,0.019899
63.3374,0.019978
63.3573,0.019940
63.3790,0.021683
63.3986,0.019619
63.4134,0.014793
63.4162,0.002792
63.4214,0.005234
63.4256,0.004186
63.4317,0.006053
63.4347,0.003086
63.4382,0.003456
63.4437,0.005488
63.4502,0.006550
63.4533,0.003117
63.4563,0.002981
63.4610,0.004636
63.4662,0.005245
63.4684,0.002190
63.4736,0.005225
63.4786,0.005006
63.4824,0.003814
63.4868,0.004315
63.4901,0.003340
63.4969,0.006751
63.4990,0.002124
63.5031,0.004081
63.5076,0.004528
63.5143,0.006735
63.5172,0.002878
63.5217,0.004509
63.5288,0.007103
63.5336,0.004813
63.5359,0.002302
63.5399,0.004006
63.5468,0.006828
63.5490,0.002288
63.5534,0.004332
63.5583,0.004968
63.5648,0.006454
63.5672,0.002386
63.5713,0.004113
63.5763,0.005047
63.5834,0.007042
63.5870,0.003635
63.5898,0.002771
63.5961,0.006341
63.5986,0.002499
63.6025,0.003875
63.6074,0.004845
63.6145,0.007170
63.6169,0.002393
63.6205,0.003604
63.6244,0.003922
63.6315,0.007068
63.6344,0.002909
63.6402,0.005738
63.6445,0.004377
63.6494,0.004828
63.6527,0.003362
63.6574,0.004668
63.6628,0.005398
63.6660,0.003202
63.6706,0.004621
63.6740,0.003363
63.6798,0.005836
63.6823,0.002516
63.6859,0.003602
63.6898,0.003854
63.6962,0.006371
63.6984,0.002227
63.7027,0.004365
63.7069,0.004155
63.7141,0.007169
63.7180,0.003884
63.7209,0.002905
63.7235,0.002669
63.7303,0.006745
63.7324,0.002141
63.7363,0.003863
63.7406,0.004272
63.7472,0.006615
63.7494,0.002205
63.7534,0.004079
63.7569,0.003451
63.7639,0.007002
63.7661,0.002188
63.7695,0.003390
63.7735,0.003972
63.7799,0.006492
63.7823,0.002307
63.7861,0.003895
63.7900,0.003824
63.7960,0.005999
63.7983,0.002288
63.8022,0.003908
63.8057,0.003508
63.8120,0.006288
63.8152,0.003246
63.8187,0.003473
63.8224,0.003671
63.8290,0.006649
63.8314,0.002394
63.8348,0.003368
63.8389,0.004128
63.8452,0.006325
63.8484,0.003149
63.8515,0.003154
63.8553,0.003795
63.8622,0.006858
63.8644,0.002278
63.8679,0.003479
63.8742,0.006252
63.8791,0.004952
63.8838,0.004633
63.8864,0.002661
63.8904,0.003928
63.8972,0.006886
63.9004,0.003138
63.9024,0.002026
63.9063,0.003870
63.9130,0.006692
63.9151,0.002132
63.9186,0.003509
63.9232,0.004609
63.9293,0.006041
63.9324,0.003150
63.9367,0.004322
63.9408,0.004112
63.9477,0.006858
63.9501,0.002389
63.9532,0.003076
63.9567,0.003577
63.9641,0.007319
63.9685,0.004406
63.9780,0.009532
63.9872,0.009155
63.9939,0.006747
64.0015,0.007639
64.0099,0.008344
64.0182,0.008278
64.0271,0.008918
64.0489,0.021839
64.0521,0.003139
64.0545,0.002459
64.0597,0.005210
64.0658,0.006080
64.0699,0.004105
64.0742,0.004282
64.0799,0.005694
